feature,feature_data_type,statistical_analysis_applicable,missing_percent,mean,median,relative_difference_percent,relative_difference_category,skewness,skewness_category,statistical_candidate,statistical_reason,baseline_action,baseline_reason
gcs_unable_apache,binary_numeric,False,1.1307012092069826,,,,not_applicable,,not_applicable,BINARY MODE CANDIDATE,Binary feature is handled using categorical/binary missing-value logic rather than mean/median analysis.,KEEP — BINARY MODE IMPUTATION,Binary feature has less than 50% missingness. Mode imputation is used for the baseline.
arf_apache,binary_numeric,False,0.7796059446316226,,,,not_applicable,,not_applicable,BINARY MODE CANDIDATE,Binary feature is handled using categorical/binary missing-value logic rather than mean/median analysis.,KEEP — BINARY MODE IMPUTATION,Binary feature has less than 50% missingness. Mode imputation is used for the baseline.
intubated_apache,binary_numeric,False,0.7796059446316226,,,,not_applicable,,not_applicable,BINARY MODE CANDIDATE,Binary feature is handled using categorical/binary missing-value logic rather than mean/median analysis.,KEEP — BINARY MODE IMPUTATION,Binary feature has less than 50% missingness. Mode imputation is used for the baseline.
ventilated_apache,binary_numeric,False,0.7796059446316226,,,,not_applicable,,not_applicable,BINARY MODE CANDIDATE,Binary feature is handled using categorical/binary missing-value logic rather than mean/median analysis.,KEEP — BINARY MODE IMPUTATION,Binary feature has less than 50% missingness. Mode imputation is used for the baseline.
aids,binary_numeric,False,0.7796059446316226,,,,not_applicable,,not_applicable,BINARY MODE CANDIDATE,Binary feature is handled using categorical/binary missing-value logic rather than mean/median analysis.,KEEP — BINARY MODE IMPUTATION,Binary feature has less than 50% missingness. Mode imputation is used for the baseline.
cirrhosis,binary_numeric,False,0.7796059446316226,,,,not_applicable,,not_applicable,BINARY MODE CANDIDATE,Binary feature is handled using categorical/binary missing-value logic rather than mean/median analysis.,KEEP — BINARY MODE IMPUTATION,Binary feature has less than 50% missingness. Mode imputation is used for the baseline.
diabetes_mellitus,binary_numeric,False,0.7796059446316226,,,,not_applicable,,not_applicable,BINARY MODE CANDIDATE,Binary feature is handled using categorical/binary missing-value logic rather than mean/median analysis.,KEEP — BINARY MODE IMPUTATION,Binary feature has less than 50% missingness. Mode imputation is used for the baseline.
hepatic_failure,binary_numeric,False,0.7796059446316226,,,,not_applicable,,not_applicable,BINARY MODE CANDIDATE,Binary feature is handled using categorical/binary missing-value logic rather than mean/median analysis.,KEEP — BINARY MODE IMPUTATION,Binary feature has less than 50% missingness. Mode imputation is used for the baseline.
immunosuppression,binary_numeric,False,0.7796059446316226,,,,not_applicable,,not_applicable,BINARY MODE CANDIDATE,Binary feature is handled using categorical/binary missing-value logic rather than mean/median analysis.,KEEP — BINARY MODE IMPUTATION,Binary feature has less than 50% missingness. Mode imputation is used for the baseline.
leukemia,binary_numeric,False,0.7796059446316226,,,,not_applicable,,not_applicable,BINARY MODE CANDIDATE,Binary feature is handled using categorical/binary missing-value logic rather than mean/median analysis.,KEEP — BINARY MODE IMPUTATION,Binary feature has less than 50% missingness. Mode imputation is used for the baseline.
lymphoma,binary_numeric,False,0.7796059446316226,,,,not_applicable,,not_applicable,BINARY MODE CANDIDATE,Binary feature is handled using categorical/binary missing-value logic rather than mean/median analysis.,KEEP — BINARY MODE IMPUTATION,Binary feature has less than 50% missingness. Mode imputation is used for the baseline.
solid_tumor_with_metastasis,binary_numeric,False,0.7796059446316226,,,,not_applicable,,not_applicable,BINARY MODE CANDIDATE,Binary feature is handled using categorical/binary missing-value logic rather than mean/median analysis.,KEEP — BINARY MODE IMPUTATION,Binary feature has less than 50% missingness. Mode imputation is used for the baseline.
elective_surgery,binary_numeric,False,0.0,,,,not_applicable,,not_applicable,not_applicable,Binary feature is handled using categorical/binary missing-value logic rather than mean/median analysis.,KEEP — BINARY NO IMPUTATION,Binary feature contains no missing values.
readmission_status,binary_numeric,False,0.0,,,,not_applicable,,not_applicable,not_applicable,Binary feature is handled using categorical/binary missing-value logic rather than mean/median analysis.,KEEP — BINARY NO IMPUTATION,Binary feature contains no missing values.
apache_post_operative,binary_numeric,False,0.0,,,,not_applicable,,not_applicable,not_applicable,Binary feature is handled using categorical/binary missing-value logic rather than mean/median analysis.,KEEP — BINARY NO IMPUTATION,Binary feature contains no missing values.
h1_bilirubin_max,continuous_numeric,True,92.26500059969688,1.0986115026783196,0.6,83.10191711305328,very_large,9.149274608930341,very_strongly_skewed,MEDIAN CANDIDATE,Distribution is very strongly skewed; median is more robust to extreme values.,DROP FROM BASELINE,Feature has at least 80% missing values and is removed according to the initial baseline policy.
h1_bilirubin_min,continuous_numeric,True,92.26500059969688,1.0977516210882436,0.6,82.95860351470729,very_large,9.158105598450598,very_strongly_skewed,MEDIAN CANDIDATE,Distribution is very strongly skewed; median is more robust to extreme values.,DROP FROM BASELINE,Feature has at least 80% missing values and is removed according to the initial baseline policy.
h1_lactate_max,continuous_numeric,True,91.99241110856694,3.068860294117647,2.05,49.700502152080354,significant,2.464702558163932,very_strongly_skewed,MEDIAN CANDIDATE,Distribution is very strongly skewed; median is more robust to extreme values.,DROP FROM BASELINE,Feature has at least 80% missing values and is removed according to the initial baseline policy.
h1_lactate_min,continuous_numeric,True,91.99241110856694,3.0215426879084966,2.0,51.07713439542483,very_large,2.5033049891468284,very_strongly_skewed,MEDIAN CANDIDATE,Distribution is very strongly skewed; median is more robust to extreme values.,DROP FROM BASELINE,Feature has at least 80% missing values and is removed according to the initial baseline policy.
h1_albumin_max,continuous_numeric,True,91.39816601790368,3.0300798580301684,3.1,2.2554884506397306,very_small,-0.24767537932259615,approximately_symmetric,MEAN CANDIDATE,Distribution is approximately symmetric and mean and median are highly consistent.,DROP FROM BASELINE,Feature has at least 80% missing values and is removed according to the initial baseline policy.
h1_albumin_min,continuous_numeric,True,91.39816601790368,3.0290784636836103,3.1,2.287791494077089,very_small,-0.24743325274304578,approximately_symmetric,MEAN CANDIDATE,Distribution is approximately symmetric and mean and median are highly consistent.,DROP FROM BASELINE,Feature has at least 80% missing values and is removed according to the initial baseline policy.
h1_pao2fio2ratio_max,continuous_numeric,True,87.44125696466149,244.40498172767062,223.3333333,9.435066461559245,small,0.761722478358949,moderately_skewed,FURTHER INVESTIGATION,Distribution has moderate skewness and does not clearly favor mean or median.,DROP FROM BASELINE,Feature has at least 80% missing values and is removed according to the initial baseline policy.
h1_pao2fio2ratio_min,continuous_numeric,True,87.44125696466149,235.93305011669997,214.0,10.249088839579427,noticeable,0.7107040335892995,moderately_skewed,FURTHER INVESTIGATION,Distribution has moderate skewness and does not clearly favor mean or median.,DROP FROM BASELINE,Feature has at least 80% missing values and is removed according to the initial baseline policy.
h1_arterial_ph_max,continuous_numeric,True,83.32951708045752,7.338362744456799,7.35,0.15833000739047995,very_small,-0.9966152600080612,moderately_skewed,FURTHER INVESTIGATION,Distribution has moderate skewness and does not clearly favor mean or median.,DROP FROM BASELINE,Feature has at least 80% missing values and is removed according to the initial baseline policy.
h1_arterial_ph_min,continuous_numeric,True,83.32951708045752,7.327882529923475,7.34,0.16508814818154216,very_small,-1.0013952049877106,strongly_skewed,FURTHER INVESTIGATION,"Distribution is skewed, but mean and median remain relatively similar.",DROP FROM BASELINE,Feature has at least 80% missing values and is removed according to the initial baseline policy.
h1_hco3_max,continuous_numeric,True,82.969698952166,22.496696331391256,23.0,2.188276820038018,very_small,-0.4583922057315234,approximately_symmetric,MEAN CANDIDATE,Distribution is approximately symmetric and mean and median are highly consistent.,DROP FROM BASELINE,Feature has at least 80% missing values and is removed according to the initial baseline policy.
h1_hco3_min,continuous_numeric,True,82.969698952166,22.42169793200589,23.0,2.5143568173656905,very_small,-0.45024004053528877,approximately_symmetric,MEAN CANDIDATE,Distribution is approximately symmetric and mean and median are highly consistent.,DROP FROM BASELINE,Feature has at least 80% missing values and is removed according to the initial baseline policy.
h1_arterial_pco2_max,continuous_numeric,True,82.82250062695583,44.668443887266726,42.1,6.100816834362766,small,1.5731605727237823,strongly_skewed,FURTHER INVESTIGATION,"Distribution is skewed, but mean and median remain relatively similar.",DROP FROM BASELINE,Feature has at least 80% missing values and is removed according to the initial baseline policy.
h1_arterial_pco2_min,continuous_numeric,True,82.82250062695583,43.383452773898696,41.0,5.813299448533406,small,1.590903030615158,strongly_skewed,FURTHER INVESTIGATION,"Distribution is skewed, but mean and median remain relatively similar.",DROP FROM BASELINE,Feature has at least 80% missing values and is removed according to the initial baseline policy.
h1_wbc_max,continuous_numeric,True,82.81595847916871,13.46021192893401,12.12,11.0578541991255,noticeable,1.3249022338333991,strongly_skewed,MEDIAN CANDIDATE,Distribution is strongly skewed and mean and median differ meaningfully.,DROP FROM BASELINE,Feature has at least 80% missing values and is removed according to the initial baseline policy.
h1_wbc_min,continuous_numeric,True,82.81595847916871,13.423474974619289,12.1,10.937809707597433,noticeable,1.330382396250643,strongly_skewed,MEDIAN CANDIDATE,Distribution is strongly skewed and mean and median differ meaningfully.,DROP FROM BASELINE,Feature has at least 80% missing values and is removed according to the initial baseline policy.
h1_arterial_po2_max,continuous_numeric,True,82.80723561545256,163.84135432521563,120.0,36.534461937679694,significant,1.3298460207030494,strongly_skewed,MEDIAN CANDIDATE,Distribution is strongly skewed and mean and median differ meaningfully.,DROP FROM BASELINE,Feature has at least 80% missing values and is removed according to the initial baseline policy.
h1_arterial_po2_min,continuous_numeric,True,82.80723561545256,144.15422406139012,107.0,34.72357388914965,significant,1.6576790426492847,strongly_skewed,MEDIAN CANDIDATE,Distribution is strongly skewed and mean and median differ meaningfully.,DROP FROM BASELINE,Feature has at least 80% missing values and is removed according to the initial baseline policy.
