feature,review_score,review_priority,review_reason,dictionary_data_type,feature_description,missing_percent,unique_values,mean,median,relative_difference_percent,skewness
pre_icu_los_days,5,HIGH,LARGE_MEAN_MEDIAN_DIFFERENCE | VERY_HIGH_SKEWNESS,numeric,The length of stay of the patient between hospital admission and unit admission,0.0,9757,0.835766050667986,0.138888889,142.99977013513637,10.988614557452854
h1_bilirubin_min,5,HIGH,LARGE_MEAN_MEDIAN_DIFFERENCE | VERY_HIGH_SKEWNESS,numeric,The lowest bilirubin concentration of the patient in their serum or plasma during the first hour of their unit stay,92.26500059969688,181,1.0977516210882436,0.6,58.636565550052524,9.158105598450598
h1_bilirubin_max,5,HIGH,LARGE_MEAN_MEDIAN_DIFFERENCE | VERY_HIGH_SKEWNESS,numeric,The highest bilirubin concentration of the patient in their serum or plasma during the first hour of their unit stay,92.26500059969688,181,1.0986115026783196,0.6,58.70812741961585,9.149274608930341
d1_bilirubin_min,5,HIGH,LARGE_MEAN_MEDIAN_DIFFERENCE | VERY_HIGH_SKEWNESS,numeric,The lowest bilirubin concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,58.522783029668645,357,1.067814931650894,0.6,56.099141790009675,8.961084118043232
d1_bilirubin_max,5,HIGH,LARGE_MEAN_MEDIAN_DIFFERENCE | VERY_HIGH_SKEWNESS,numeric,The highest bilirubin concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,58.522783029668645,374,1.137308359621451,0.6,61.85526669986523,8.709534369511415
bilirubin_apache,5,HIGH,LARGE_MEAN_MEDIAN_DIFFERENCE | VERY_HIGH_SKEWNESS,numeric,The bilirubin concentration measured during the first 24 hours which results in the highest APACHE III score,63.38686990939125,362,1.1477208969891897,0.6,62.67830268926258,8.656250638223566
h1_creatinine_min,5,HIGH,LARGE_MEAN_MEDIAN_DIFFERENCE | VERY_HIGH_SKEWNESS,numeric,The lowest creatinine concentration of the patient in their serum or plasma during the first hour of their unit stay,81.72996194650703,777,1.528784137025543,1.01,40.86870793460638,3.6833796797188767
h1_creatinine_max,5,HIGH,LARGE_MEAN_MEDIAN_DIFFERENCE | VERY_HIGH_SKEWNESS,numeric,The highest creatinine concentration of the patient in their serum or plasma during the first hour of their unit stay,81.72996194650703,784,1.5312205418954403,1.01,41.021275666745034,3.6832490299509963
d1_creatinine_min,5,HIGH,LARGE_MEAN_MEDIAN_DIFFERENCE | VERY_HIGH_SKEWNESS,numeric,The lowest creatinine concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,11.087850141201356,1093,1.366947375649956,0.95,35.99109587311994,3.616992886120413
d1_inr_max,5,HIGH,LARGE_MEAN_MEDIAN_DIFFERENCE | VERY_HIGH_SKEWNESS,numeric,The highest international normalized ratio for the patient during the first 24 hours of their unit stay,63.17643082223894,481,1.5964762525168779,1.3,20.47151273960947,3.604282653627582
h1_inr_max,5,HIGH,LARGE_MEAN_MEDIAN_DIFFERENCE | VERY_HIGH_SKEWNESS,numeric,The highest international normalized ratio for the patient during the first hour of their unit stay,63.17643082223894,481,1.5964762525168779,1.3,20.47151273960947,3.604282653627582
