feature,review_priority,review_reason,dictionary_data_type,feature_description,missing_percent,unique_values,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_percent_observed
diabetes_mellitus,HIGH,LOW_UNIQUE_VALUES | HIGH_OUTLIER_PERCENT,binary,"Whether the patient has been diagnosed with diabetes, either juvenile or adult onset, which requires medication.",0.7796059446316226,2,0.0,0.0,0.0,0.0,0.0,20492,22.519176245631773
gcs_motor_apache,HIGH,LOW_UNIQUE_VALUES | HIGH_OUTLIER_PERCENT,integer,The motor component of the Glasgow Coma Scale measured during the first 24 hours which results in the highest APACHE III score,2.072770490552048,6,6.0,6.0,0.0,6.0,6.0,18852,20.990513517124658
gcs_verbal_apache,HIGH,LOW_UNIQUE_VALUES | HIGH_OUTLIER_PERCENT,integer,The verbal component of the Glasgow Coma Scale measured during the first 24 hours which results in the highest APACHE III score,2.072770490552048,5,4.0,5.0,1.0,2.5,6.5,18681,20.80011579744355
apache_post_operative,HIGH,LOW_UNIQUE_VALUES | HIGH_OUTLIER_PERCENT,binary,"The APACHE operative status; 1 for post-operative, 0 for non-operative",0.0,2,0.0,0.0,0.0,0.0,0.0,18444,20.110562297602304
elective_surgery,HIGH,LOW_UNIQUE_VALUES | HIGH_OUTLIER_PERCENT,binary,Whether the patient was admitted to the hospital for an elective surgical operation,0.0,2,0.0,0.0,0.0,0.0,0.0,16851,18.373622060122337
pre_icu_los_days,HIGH,HIGH_OUTLIER_PERCENT,numeric,The length of stay of the patient between hospital admission and unit admission,0.0,9757,0.035416667,0.409027778,0.373611111,-0.5249999995,0.9694444445,15815,17.244011208879876
apache_4a_icu_death_prob,HIGH,HIGH_OUTLIER_PERCENT,numeric,"The APACHE IVa probabilistic prediction of in ICU mortality for the patient which utilizes the APACHE III score and other covariates, including diagnosis",8.665074744038467,99,0.01,0.06,0.049999999999999996,-0.065,0.135,13377,15.969486426473747
intubated_apache,HIGH,LOW_UNIQUE_VALUES | HIGH_OUTLIER_PERCENT,binary,Whether the patient was intubated at the time of the highest scoring arterial blood gas used in the oxygenation score,0.7796059446316226,2,0.0,0.0,0.0,0.0,0.0,13761,15.122310380447923
apache_4a_hospital_death_prob,HIGH,HIGH_OUTLIER_PERCENT,numeric,"The APACHE IVa probabilistic prediction of in-hospital mortality for the patient which utilizes the APACHE III score and other covariates, including diagnosis.",8.665074744038467,101,0.02,0.13,0.11,-0.14500000000000002,0.29500000000000004,11372,13.575913855263472
d1_inr_min,HIGH,HIGH_OUTLIER_PERCENT,numeric,The lowest international normalized ratio for the patient during the first 24 hours of their unit stay,63.17643082223894,393,1.1,1.5,0.3999999999999999,0.5000000000000002,2.0999999999999996,3906,11.56579414899917
h1_inr_min,HIGH,HIGH_OUTLIER_PERCENT,numeric,The lowest international normalized ratio for the patient during the first hour of their unit stay,63.17643082223894,393,1.1,1.5,0.3999999999999999,0.5000000000000002,2.0999999999999996,3906,11.56579414899917
d1_inr_max,HIGH,HIGH_OUTLIER_PERCENT,numeric,The highest international normalized ratio for the patient during the first 24 hours of their unit stay,63.17643082223894,481,1.1,1.6,0.5,0.3500000000000001,2.35,3783,11.201587113585218
h1_inr_max,HIGH,HIGH_OUTLIER_PERCENT,numeric,The highest international normalized ratio for the patient during the first hour of their unit stay,63.17643082223894,481,1.1,1.6,0.5,0.3500000000000001,2.35,3783,11.201587113585218
h1_creatinine_max,HIGH,HIGH_OUTLIER_PERCENT,numeric,The highest creatinine concentration of the patient in their serum or plasma during the first hour of their unit stay,81.72996194650703,784,0.79,1.55,0.76,-0.3500000000000001,2.6900000000000004,1828,10.909524946287895
h1_creatinine_min,HIGH,HIGH_OUTLIER_PERCENT,numeric,The lowest creatinine concentration of the patient in their serum or plasma during the first hour of their unit stay,81.72996194650703,777,0.79,1.55,0.76,-0.3500000000000001,2.6900000000000004,1824,10.885652900453568
d1_creatinine_max,HIGH,HIGH_OUTLIER_PERCENT,numeric,The highest creatinine concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,11.087850141201356,1187,0.76,1.5,0.74,-0.34999999999999987,2.61,8871,10.878789365250663
d1_mbp_invasive_max,HIGH,HIGH_OUTLIER_PERCENT,numeric,"The patient's highest mean blood pressure during the first 24 hours of their unit stay, invasively measured",73.90119176125522,285,89.0,118.0,29.0,45.5,161.5,2598,10.85394385026738
creatinine_apache,HIGH,HIGH_OUTLIER_PERCENT,numeric,The creatinine concentration measured during the first 24 hours which results in the highest APACHE III score,20.55651870509088,1127,0.72,1.53,0.81,-0.4950000000000001,2.745,7526,10.329398847104034
d1_creatinine_min,HIGH,HIGH_OUTLIER_PERCENT,numeric,The lowest creatinine concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,11.087850141201356,1093,0.71,1.4,0.69,-0.32499999999999996,2.4349999999999996,8376,10.271755126066909
d1_spo2_max,HIGH,HIGH_OUTLIER_PERCENT,numeric,The patient's highest peripheral oxygen saturation during the first 24 hours of their unit stay,0.36308920218507734,43,99.0,100.0,1.0,97.5,101.5,9262,10.135697089078572
temp_apache,HIGH,HIGH_OUTLIER_PERCENT,numeric,The temperature measured during the first 24 hours which results in the highest APACHE III score,4.47919051824714,191,36.2,36.7,0.5,35.45,37.45,8762,10.001712231037041
d1_lactate_max,HIGH,HIGH_OUTLIER_PERCENT,numeric,The highest lactate concentration for the patient in their serum or plasma during the first 24 hours of their unit stay,74.57612334129294,704,1.2,3.3,2.0999999999999996,-1.9499999999999995,6.449999999999999,2166,9.289359694643393
gcs_eyes_apache,HIGH,LOW_UNIQUE_VALUES | HIGH_OUTLIER_PERCENT,integer,The eye opening component of the Glasgow Coma Scale measured during the first 24 hours which results in the highest APACHE III score,2.072770490552048,4,3.0,4.0,1.0,1.5,5.5,8274,9.212577383868526
d1_bilirubin_min,HIGH,HIGH_OUTLIER_PERCENT,numeric,The lowest bilirubin concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,58.522783029668645,357,0.4,1.0,0.6,-0.4999999999999999,1.9,3464,9.106203995793901
bilirubin_apache,HIGH,HIGH_OUTLIER_PERCENT,numeric,The bilirubin concentration measured during the first 24 hours which results in the highest APACHE III score,63.38686990939125,362,0.4,1.1,0.7000000000000001,-0.65,2.1500000000000004,3039,9.050299294201732
d1_bilirubin_max,HIGH,HIGH_OUTLIER_PERCENT,numeric,The highest bilirubin concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,58.522783029668645,374,0.4,1.1,0.7000000000000001,-0.65,2.1500000000000004,3363,8.840694006309148
h1_temp_max,HIGH,HIGH_OUTLIER_PERCENT,numeric,"The patient's highest core temperature during the first hour of their unit stay, invasively measured",23.695659284943247,294,36.4,37.0,0.6000000000000014,35.5,37.900000000000006,6170,8.816678812820623
h1_lactate_max,HIGH,HIGH_OUTLIER_PERCENT,numeric,The highest lactate concentration for the patient in their serum or plasma during the first hour of their unit stay,91.99241110856694,547,1.3,3.6,2.3,-2.1499999999999995,7.05,647,8.8099128540305
h1_bilirubin_max,HIGH,HIGH_OUTLIER_PERCENT,numeric,The highest bilirubin concentration of the patient in their serum or plasma during the first hour of their unit stay,92.26500059969688,181,0.4,1.1,0.7000000000000001,-0.65,2.1500000000000004,604,8.514237383704538
h1_bilirubin_min,HIGH,HIGH_OUTLIER_PERCENT,numeric,The lowest bilirubin concentration of the patient in their serum or plasma during the first hour of their unit stay,92.26500059969688,181,0.4,1.1,0.7000000000000001,-0.65,2.1500000000000004,601,8.471948125176205
