feature,review_reason,dictionary_data_type,unit_of_measure,feature_description,missing_percent,unique_values,min_value,max_value,negative_values_percent,zero_values_percent
apache_4a_hospital_death_prob,HAS_NEGATIVE_VALUES | HAS_ZERO_VALUES,numeric,,"The APACHE IVa probabilistic prediction of in-hospital mortality for the patient which utilizes the APACHE III score and other covariates, including diagnosis.",8.665074744038467,101,-1.0,0.99,2.8305040231120024,2.9701788315068165
apache_4a_icu_death_prob,HAS_NEGATIVE_VALUES | HAS_ZERO_VALUES,numeric,,"The APACHE IVa probabilistic prediction of in ICU mortality for the patient which utilizes the APACHE III score and other covariates, including diagnosis",8.665074744038467,99,-1.0,0.97,2.6621779719695344,11.572714466489984
pre_icu_los_days,HAS_NEGATIVE_VALUES | HAS_ZERO_VALUES,numeric,Days,The length of stay of the patient between hospital admission and unit admission,0.0,9757,-24.94722222,159.0909722,0.848298496396367,4.046318406332799
readmission_status,LOW_UNIQUE_VALUES | HAS_ZERO_VALUES,binary,,Whether the current unit stay is the second (or greater) stay at an ICU within the same hospitalization,0.0,1,0.0,0.0,0.0,100.0
aids,LOW_UNIQUE_VALUES | HAS_ZERO_VALUES,binary,,Whether the patient has a definitive diagnosis of acquired immune deficiency syndrome (AIDS) (not HIV positive alone),0.7796059446316226,2,0.0,1.0,0.0,99.91428383041385
lymphoma,LOW_UNIQUE_VALUES | HAS_ZERO_VALUES,binary,,Whether the patient has been diagnosed with non-Hodgkin lymphoma.,0.7796059446316226,2,0.0,1.0,0.0,99.58680410558473
leukemia,LOW_UNIQUE_VALUES | HAS_ZERO_VALUES,binary,,"Whether the patient has been diagnosed with acute or chronic myelogenous leukemia, acute or chronic lymphocytic leukemia, or multiple myeloma.",0.7796059446316226,2,0.0,1.0,0.0,99.29339106353986
gcs_unable_apache,LOW_UNIQUE_VALUES | HAS_ZERO_VALUES,binary,,Whether the Glasgow Coma Scale was unable to be assessed due to patient sedation,1.1307012092069826,2,0.0,1.0,0.0,99.04715691031805
hepatic_failure,LOW_UNIQUE_VALUES | HAS_ZERO_VALUES,binary,,"Whether the patient has cirrhosis and additional complications including jaundice and ascites, upper GI bleeding, hepatic encephalopathy, or coma.",0.7796059446316226,2,0.0,1.0,0.0,98.70107035319458
cirrhosis,LOW_UNIQUE_VALUES | HAS_ZERO_VALUES,binary,,"Whether the patient has a history of heavy alcohol use with portal hypertension and varices, other causes of cirrhosis with evidence of portal hypertension and varices, or biopsy proven cirrhosis. This comorbidity does not apply to patients with a functioning liver transplant.",0.7796059446316226,2,0.0,1.0,0.0,98.43073474142288
