feature,review_priority,review_reason,dictionary_data_type,feature_description,missing_percent,unique_values,dominant_value,dominant_value_percent
readmission_status,HIGH,EXTREME_DOMINANCE,binary,Whether the current unit stay is the second (or greater) stay at an ICU within the same hospitalization,0.0,1,0.0,100.0
aids,HIGH,EXTREME_DOMINANCE,binary,Whether the patient has a definitive diagnosis of acquired immune deficiency syndrome (AIDS) (not HIV positive alone),0.7796059446316226,2,0.0,99.91428383041385
lymphoma,HIGH,EXTREME_DOMINANCE,binary,Whether the patient has been diagnosed with non-Hodgkin lymphoma.,0.7796059446316226,2,0.0,99.58680410558473
leukemia,HIGH,EXTREME_DOMINANCE,binary,"Whether the patient has been diagnosed with acute or chronic myelogenous leukemia, acute or chronic lymphocytic leukemia, or multiple myeloma.",0.7796059446316226,2,0.0,99.29339106353986
gcs_unable_apache,HIGH,EXTREME_DOMINANCE,binary,Whether the Glasgow Coma Scale was unable to be assessed due to patient sedation,1.1307012092069826,2,0.0,99.04715691031805
hepatic_failure,MEDIUM,VERY_HIGH_DOMINANCE,binary,"Whether the patient has cirrhosis and additional complications including jaundice and ascites, upper GI bleeding, hepatic encephalopathy, or coma.",0.7796059446316226,2,0.0,98.70107035319458
cirrhosis,MEDIUM,VERY_HIGH_DOMINANCE,binary,"Whether the patient has a history of heavy alcohol use with portal hypertension and varices, other causes of cirrhosis with evidence of portal hypertension and varices, or biopsy proven cirrhosis. This comorbidity does not apply to patients with a functioning liver transplant.",0.7796059446316226,2,0.0,98.43073474142288
solid_tumor_with_metastasis,LOW,HIGH_DOMINANCE,,,0.7796059446316226,2,0.0,97.9362183784259
immunosuppression,LOW,HIGH_DOMINANCE,,,0.7796059446316226,2,0.0,97.38345897712037
arf_apache,LOW,HIGH_DOMINANCE,,,0.7796059446316226,2,0.0,97.20213631068815
intubated_apache,NO_REVIEW,,,,0.7796059446316226,2,0.0,84.87768961955207
elective_surgery,NO_REVIEW,,,,0.0,2,0.0,81.62637793987766
apache_post_operative,NO_REVIEW,,,,0.0,2,0.0,79.88943770239769
gcs_motor_apache,NO_REVIEW,,,,2.072770490552048,6,6.0,79.00948648287533
diabetes_mellitus,NO_REVIEW,,,,0.7796059446316226,2,0.0,77.48082375436823
gcs_eyes_apache,NO_REVIEW,,,,2.072770490552048,4,4.0,70.14096111878145
ventilated_apache,NO_REVIEW,,,,0.7796059446316226,2,0.0,67.42785555726499
d1_spo2_max,NO_REVIEW,,,,0.36308920218507734,43,100.0,66.12606697307945
gcs_verbal_apache,NO_REVIEW,,,,2.072770490552048,5,5.0,63.3645837972654
h1_spo2_max,NO_REVIEW,,,,4.563148081515162,72,100.0,41.2964994059044
apache_4a_icu_death_prob,NO_REVIEW,,,,8.665074744038467,99,0.01,25.173698159157652
fio2_apache,NO_REVIEW,,,,77.27148822958577,82,1.0,23.132645718397697
h1_spo2_min,NO_REVIEW,,,,4.563148081515162,100,100.0,16.402751119641714
d1_inr_min,NO_REVIEW,,,,63.17643082223894,393,1.1,15.545422243278455
h1_inr_min,NO_REVIEW,,,,63.17643082223894,393,1.1,15.545422243278455
h1_inr_max,NO_REVIEW,,,,63.17643082223894,481,1.1,14.159658889020491
d1_inr_max,NO_REVIEW,,,,63.17643082223894,481,1.1,14.159658889020491
d1_bilirubin_min,NO_REVIEW,,,,58.522783029668645,357,0.4,13.498948475289168
apache_4a_hospital_death_prob,NO_REVIEW,,,,8.665074744038467,101,0.01,13.159277033641334
apache_2_diagnosis,NO_REVIEW,,,,1.8121749370318276,44,113.0,13.037056778936382
h1_bilirubin_max,NO_REVIEW,,,,92.26500059969688,181,0.4,12.940513109670142
h1_bilirubin_min,NO_REVIEW,,,,92.26500059969688,181,0.4,12.9264166901607
d1_bilirubin_max,NO_REVIEW,,,,58.522783029668645,374,0.4,12.6472134595163
bilirubin_apache,NO_REVIEW,,,,63.38686990939125,362,0.4,12.403585574317281
d1_resprate_min,NO_REVIEW,,,,0.4197878163401045,55,12.0,12.002890679747722
d1_temp_min,NO_REVIEW,,,,2.5339919095439036,209,36.4,11.812415397867747
d1_hco3_max,NO_REVIEW,,,,16.43278488327718,223,24.0,10.954828944964902
temp_apache,NO_REVIEW,,,,4.47919051824714,191,36.4,10.669482335483133
h1_hco3_min,NO_REVIEW,,,,82.969698952166,198,23.0,10.615276266086177
h1_resprate_min,NO_REVIEW,,,,4.750689651412559,91,16.0,10.409130454691148
d1_sodium_max,NO_REVIEW,,,,11.11619944827887,71,139.0,10.403837189332418
h1_hco3_max,NO_REVIEW,,,,82.969698952166,214,23.0,10.391190217043345
sodium_apache,NO_REVIEW,,,,20.280658140067384,119,139.0,10.316906706057747
d1_sodium_min,NO_REVIEW,,,,11.11619944827887,138,139.0,10.304472631811379
d1_hco3_min,NO_REVIEW,,,,16.43278488327718,255,24.0,9.939719735915034
h1_sodium_min,NO_REVIEW,,,,79.17852430953081,113,139.0,9.724549643904483
d1_spo2_min,NO_REVIEW,,,,0.36308920218507734,101,94.0,9.56883344276647
h1_sodium_max,NO_REVIEW,,,,79.17852430953081,99,139.0,9.467951403435276
h1_resprate_max,NO_REVIEW,,,,4.750689651412559,50,20.0,9.155638994459453
d1_temp_max,NO_REVIEW,,,,2.5339919095439036,186,37.1,9.033549989372295
h1_temp_max,NO_REVIEW,,,,23.695659284943247,294,36.7,9.011017276117803
h1_temp_min,NO_REVIEW,,,,23.695659284943247,303,36.7,8.883839899401266
d1_potassium_min,NO_REVIEW,,,,10.451081089921821,116,3.9,7.74887979738944
d1_potassium_max,NO_REVIEW,,,,10.451081089921821,100,4.0,7.6466004285992595
h1_potassium_min,NO_REVIEW,,,,78.61698995780316,113,4.1,6.919585946662588
d1_resprate_max,NO_REVIEW,,,,0.4197878163401045,79,24.0,6.86864926419061
h1_potassium_max,NO_REVIEW,,,,78.61698995780316,115,4.1,6.78190811279384
d1_calcium_max,NO_REVIEW,,,,14.249888238308635,47,8.5,5.961039621585881
height,NO_REVIEW,,,,1.454537524669349,401,167.6,5.932794122528463
albumin_apache,NO_REVIEW,,,,59.292575752619584,35,3.1,5.860609631970857
d1_albumin_max,NO_REVIEW,,,,53.53221462606174,35,3.1,5.828659924443298
d1_albumin_min,NO_REVIEW,,,,53.53221462606174,35,3.1,5.819273998639041
d1_lactate_min,NO_REVIEW,,,,74.57612334129294,486,1.0,5.6053523180512075
d1_calcium_min,NO_REVIEW,,,,14.249888238308635,49,8.4,5.551599613447943
h1_albumin_max,NO_REVIEW,,,,91.39816601790368,37,3.2,5.450627455951325
h1_albumin_min,NO_REVIEW,,,,91.39816601790368,37,3.2,5.425275700342249
h1_calcium_max,NO_REVIEW,,,,82.71782626236194,59,8.4,5.230283911671925
h1_calcium_min,NO_REVIEW,,,,82.71782626236194,62,8.4,5.186119873817034
h1_bun_min,NO_REVIEW,,,,81.87606991375269,258,14.0,5.155817591144267
h1_bun_max,NO_REVIEW,,,,81.87606991375269,258,14.0,5.149801467934063
apache_3j_diagnosis,NO_REVIEW,,,,1.2004841189362467,399,501.05,4.945261113318324
d1_bun_min,NO_REVIEW,,,,11.464023638960672,472,12.0,4.76976317442333
resprate_apache,NO_REVIEW,,,,1.3455017282173738,74,10.0,4.755799688325467
hospital_id,NO_REVIEW,,,,0.0,147,118.0,4.724521060264085
d1_diasbp_invasive_min,NO_REVIEW,,,,74.12689585991082,85,46.0,4.580892578701167
d1_bun_max,NO_REVIEW,,,,11.464023638960672,495,14.0,4.456951440288673
