feature,semantic_type,dictionary_data_type,unique_values,missing_percent,level1_status
encounter_id,IDENTIFIER,integer,91713,0.0,DROP
patient_id,IDENTIFIER,integer,91713,0.0,DROP
hospital_id,IDENTIFIER,integer,147,0.0,INVESTIGATE
hospital_death,TARGET,binary,2,0.0,TARGET
age,CONTINUOUS,numeric,74,4.61,KEEP_FOR_NOW
bmi,CONTINUOUS,string,34888,3.74,KEEP_FOR_NOW
elective_surgery,BINARY,binary,2,0.0,KEEP_FOR_NOW
ethnicity,CATEGORICAL,string,6,1.52,KEEP_FOR_NOW
gender,CATEGORICAL,string,2,0.03,KEEP_FOR_NOW
height,CONTINUOUS,numeric,401,1.45,KEEP_FOR_NOW
hospital_admit_source,CATEGORICAL,string,15,23.34,KEEP_FOR_NOW
icu_admit_source,CATEGORICAL,string,5,0.12,KEEP_FOR_NOW
icu_id,IDENTIFIER,integer,241,0.0,INVESTIGATE
icu_stay_type,CATEGORICAL,string,3,0.0,KEEP_FOR_NOW
icu_type,CATEGORICAL,string,8,0.0,KEEP_FOR_NOW
pre_icu_los_days,CONTINUOUS,numeric,9757,0.0,INVESTIGATE
readmission_status,BINARY,binary,1,0.0,DROP
weight,CONTINUOUS,numeric,3409,2.97,KEEP_FOR_NOW
albumin_apache,CONTINUOUS,numeric,35,59.29,KEEP_FOR_NOW
apache_2_diagnosis,CATEGORICAL_CODE,string,44,1.81,KEEP_FOR_NOW
apache_3j_diagnosis,CATEGORICAL_CODE,string,399,1.2,KEEP_FOR_NOW
apache_post_operative,BINARY,binary,2,0.0,KEEP_FOR_NOW
arf_apache,BINARY,binary,2,0.78,KEEP_FOR_NOW
bilirubin_apache,CONTINUOUS,numeric,362,63.39,KEEP_FOR_NOW
bun_apache,CONTINUOUS,numeric,476,21.0,KEEP_FOR_NOW
creatinine_apache,CONTINUOUS,numeric,1127,20.56,KEEP_FOR_NOW
fio2_apache,CONTINUOUS,numeric,82,77.27,KEEP_FOR_NOW
gcs_eyes_apache,ORDINAL,integer,4,2.07,KEEP_FOR_NOW
gcs_motor_apache,ORDINAL,integer,6,2.07,KEEP_FOR_NOW
gcs_unable_apache,BINARY,binary,2,1.13,KEEP_FOR_NOW
gcs_verbal_apache,ORDINAL,integer,5,2.07,KEEP_FOR_NOW
glucose_apache,CONTINUOUS,numeric,565,12.03,KEEP_FOR_NOW
heart_rate_apache,CONTINUOUS,numeric,149,0.96,KEEP_FOR_NOW
hematocrit_apache,CONTINUOUS,numeric,353,21.67,KEEP_FOR_NOW
intubated_apache,BINARY,binary,2,0.78,KEEP_FOR_NOW
map_apache,CONTINUOUS,numeric,161,1.08,KEEP_FOR_NOW
paco2_apache,CONTINUOUS,numeric,704,77.27,KEEP_FOR_NOW
paco2_for_ph_apache,CONTINUOUS,numeric,704,77.27,KEEP_FOR_NOW
pao2_apache,CONTINUOUS,numeric,2003,77.27,KEEP_FOR_NOW
ph_apache,CONTINUOUS,numeric,555,77.27,KEEP_FOR_NOW
resprate_apache,CONTINUOUS,numeric,74,1.35,KEEP_FOR_NOW
sodium_apache,CONTINUOUS,numeric,119,20.28,KEEP_FOR_NOW
temp_apache,CONTINUOUS,numeric,191,4.48,KEEP_FOR_NOW
urineoutput_apache,CONTINUOUS,numeric,24772,53.43,KEEP_FOR_NOW
ventilated_apache,BINARY,binary,2,0.78,KEEP_FOR_NOW
wbc_apache,CONTINUOUS,numeric,3075,24.0,KEEP_FOR_NOW
d1_diasbp_invasive_max,CONTINUOUS,numeric,145,74.13,KEEP_FOR_NOW
d1_diasbp_invasive_min,CONTINUOUS,numeric,85,74.13,KEEP_FOR_NOW
d1_diasbp_max,CONTINUOUS,numeric,120,0.18,KEEP_FOR_NOW
d1_diasbp_min,CONTINUOUS,numeric,78,0.18,KEEP_FOR_NOW
d1_diasbp_noninvasive_max,CONTINUOUS,numeric,120,1.13,KEEP_FOR_NOW
d1_diasbp_noninvasive_min,CONTINUOUS,numeric,78,1.13,KEEP_FOR_NOW
d1_heartrate_max,CONTINUOUS,numeric,120,0.16,KEEP_FOR_NOW
d1_heartrate_min,CONTINUOUS,numeric,154,0.16,KEEP_FOR_NOW
d1_mbp_invasive_max,CONTINUOUS,numeric,285,73.9,KEEP_FOR_NOW
d1_mbp_invasive_min,CONTINUOUS,numeric,118,73.9,KEEP_FOR_NOW
d1_mbp_max,CONTINUOUS,numeric,125,0.24,KEEP_FOR_NOW
d1_mbp_min,CONTINUOUS,numeric,91,0.24,KEEP_FOR_NOW
d1_mbp_noninvasive_max,CONTINUOUS,numeric,122,1.61,KEEP_FOR_NOW
d1_mbp_noninvasive_min,CONTINUOUS,numeric,91,1.61,KEEP_FOR_NOW
d1_resprate_max,CONTINUOUS,numeric,79,0.42,KEEP_FOR_NOW
d1_resprate_min,CONTINUOUS,numeric,55,0.42,KEEP_FOR_NOW
d1_spo2_max,CONTINUOUS,numeric,43,0.36,KEEP_FOR_NOW
d1_spo2_min,CONTINUOUS,numeric,101,0.36,KEEP_FOR_NOW
d1_sysbp_invasive_max,CONTINUOUS,numeric,225,74.1,KEEP_FOR_NOW
d1_sysbp_invasive_min,CONTINUOUS,numeric,163,74.1,KEEP_FOR_NOW
d1_sysbp_max,CONTINUOUS,numeric,143,0.17,KEEP_FOR_NOW
d1_sysbp_min,CONTINUOUS,numeric,120,0.17,KEEP_FOR_NOW
d1_sysbp_noninvasive_max,CONTINUOUS,numeric,143,1.12,KEEP_FOR_NOW
d1_sysbp_noninvasive_min,CONTINUOUS,numeric,120,1.12,KEEP_FOR_NOW
d1_temp_max,CONTINUOUS,numeric,186,2.53,KEEP_FOR_NOW
d1_temp_min,CONTINUOUS,numeric,209,2.53,KEEP_FOR_NOW
h1_diasbp_invasive_max,CONTINUOUS,numeric,103,81.7,DROP_BASELINE
h1_diasbp_invasive_min,CONTINUOUS,numeric,86,81.7,DROP_BASELINE
h1_diasbp_max,CONTINUOUS,numeric,107,3.95,KEEP_FOR_NOW
h1_diasbp_min,CONTINUOUS,numeric,92,3.95,KEEP_FOR_NOW
h1_diasbp_noninvasive_max,CONTINUOUS,numeric,108,8.01,KEEP_FOR_NOW
h1_diasbp_noninvasive_min,CONTINUOUS,numeric,93,8.01,KEEP_FOR_NOW
h1_heartrate_max,CONTINUOUS,numeric,119,3.04,KEEP_FOR_NOW
h1_heartrate_min,CONTINUOUS,numeric,109,3.04,KEEP_FOR_NOW
h1_mbp_invasive_max,CONTINUOUS,numeric,247,81.61,DROP_BASELINE
h1_mbp_invasive_min,CONTINUOUS,numeric,133,81.61,DROP_BASELINE
h1_mbp_max,CONTINUOUS,numeric,117,5.06,KEEP_FOR_NOW
h1_mbp_min,CONTINUOUS,numeric,107,5.06,KEEP_FOR_NOW
h1_mbp_noninvasive_max,CONTINUOUS,numeric,115,9.9,KEEP_FOR_NOW
h1_mbp_noninvasive_min,CONTINUOUS,numeric,107,9.9,KEEP_FOR_NOW
h1_resprate_max,CONTINUOUS,numeric,50,4.75,KEEP_FOR_NOW
h1_resprate_min,CONTINUOUS,numeric,91,4.75,KEEP_FOR_NOW
h1_spo2_max,CONTINUOUS,numeric,72,4.56,KEEP_FOR_NOW
h1_spo2_min,CONTINUOUS,numeric,100,4.56,KEEP_FOR_NOW
h1_sysbp_invasive_max,CONTINUOUS,numeric,181,81.68,DROP_BASELINE
h1_sysbp_invasive_min,CONTINUOUS,numeric,168,81.68,DROP_BASELINE
h1_sysbp_max,CONTINUOUS,numeric,149,3.94,KEEP_FOR_NOW
h1_sysbp_min,CONTINUOUS,numeric,142,3.94,KEEP_FOR_NOW
h1_sysbp_noninvasive_max,CONTINUOUS,numeric,149,8.0,KEEP_FOR_NOW
h1_sysbp_noninvasive_min,CONTINUOUS,numeric,143,8.0,KEEP_FOR_NOW
h1_temp_max,CONTINUOUS,numeric,294,23.7,KEEP_FOR_NOW
h1_temp_min,CONTINUOUS,numeric,303,23.7,KEEP_FOR_NOW
d1_albumin_max,CONTINUOUS,numeric,35,53.53,KEEP_FOR_NOW
d1_albumin_min,CONTINUOUS,numeric,35,53.53,KEEP_FOR_NOW
d1_bilirubin_max,CONTINUOUS,numeric,374,58.52,KEEP_FOR_NOW
d1_bilirubin_min,CONTINUOUS,numeric,357,58.52,KEEP_FOR_NOW
d1_bun_max,CONTINUOUS,numeric,495,11.46,KEEP_FOR_NOW
d1_bun_min,CONTINUOUS,numeric,472,11.46,KEEP_FOR_NOW
d1_calcium_max,CONTINUOUS,numeric,47,14.25,KEEP_FOR_NOW
d1_calcium_min,CONTINUOUS,numeric,49,14.25,KEEP_FOR_NOW
d1_creatinine_max,CONTINUOUS,numeric,1187,11.09,KEEP_FOR_NOW
d1_creatinine_min,CONTINUOUS,numeric,1093,11.09,KEEP_FOR_NOW
d1_glucose_max,CONTINUOUS,numeric,538,6.33,KEEP_FOR_NOW
d1_glucose_min,CONTINUOUS,numeric,256,6.33,KEEP_FOR_NOW
d1_hco3_max,CONTINUOUS,numeric,223,16.43,KEEP_FOR_NOW
d1_hco3_min,CONTINUOUS,numeric,255,16.43,KEEP_FOR_NOW
d1_hemaglobin_max,CONTINUOUS,numeric,105,13.24,KEEP_FOR_NOW
d1_hemaglobin_min,CONTINUOUS,numeric,115,13.24,KEEP_FOR_NOW
d1_hematocrit_max,CONTINUOUS,numeric,312,12.71,KEEP_FOR_NOW
d1_hematocrit_min,CONTINUOUS,numeric,340,12.71,KEEP_FOR_NOW
d1_inr_max,CONTINUOUS,numeric,481,63.18,KEEP_FOR_NOW
d1_inr_min,CONTINUOUS,numeric,393,63.18,KEEP_FOR_NOW
d1_lactate_max,CONTINUOUS,numeric,704,74.58,KEEP_FOR_NOW
d1_lactate_min,CONTINUOUS,numeric,486,74.58,KEEP_FOR_NOW
d1_platelets_max,CONTINUOUS,numeric,559,14.66,KEEP_FOR_NOW
d1_platelets_min,CONTINUOUS,numeric,540,14.66,KEEP_FOR_NOW
d1_potassium_max,CONTINUOUS,numeric,100,10.45,KEEP_FOR_NOW
d1_potassium_min,CONTINUOUS,numeric,116,10.45,KEEP_FOR_NOW
d1_sodium_max,CONTINUOUS,numeric,71,11.12,KEEP_FOR_NOW
d1_sodium_min,CONTINUOUS,numeric,138,11.12,KEEP_FOR_NOW
d1_wbc_max,CONTINUOUS,numeric,3098,14.36,KEEP_FOR_NOW
d1_wbc_min,CONTINUOUS,numeric,2774,14.36,KEEP_FOR_NOW
h1_albumin_max,CONTINUOUS,numeric,37,91.4,DROP_BASELINE
h1_albumin_min,CONTINUOUS,numeric,37,91.4,DROP_BASELINE
h1_bilirubin_max,CONTINUOUS,numeric,181,92.27,DROP_BASELINE
h1_bilirubin_min,CONTINUOUS,numeric,181,92.27,DROP_BASELINE
h1_bun_max,CONTINUOUS,numeric,258,81.88,DROP_BASELINE
h1_bun_min,CONTINUOUS,numeric,258,81.88,DROP_BASELINE
h1_calcium_max,CONTINUOUS,numeric,59,82.72,DROP_BASELINE
h1_calcium_min,CONTINUOUS,numeric,62,82.72,DROP_BASELINE
h1_creatinine_max,CONTINUOUS,numeric,784,81.73,DROP_BASELINE
h1_creatinine_min,CONTINUOUS,numeric,777,81.73,DROP_BASELINE
h1_glucose_max,CONTINUOUS,numeric,601,57.37,KEEP_FOR_NOW
h1_glucose_min,CONTINUOUS,numeric,588,57.37,KEEP_FOR_NOW
h1_hco3_max,CONTINUOUS,numeric,214,82.97,DROP_BASELINE
h1_hco3_min,CONTINUOUS,numeric,198,82.97,DROP_BASELINE
h1_hemaglobin_max,CONTINUOUS,numeric,124,79.73,KEEP_FOR_NOW
h1_hemaglobin_min,CONTINUOUS,numeric,124,79.73,KEEP_FOR_NOW
h1_hematocrit_max,CONTINUOUS,numeric,358,80.05,DROP_BASELINE
h1_hematocrit_min,CONTINUOUS,numeric,361,80.05,DROP_BASELINE
h1_inr_max,CONTINUOUS,numeric,481,63.18,KEEP_FOR_NOW
h1_inr_min,CONTINUOUS,numeric,393,63.18,KEEP_FOR_NOW
h1_lactate_max,CONTINUOUS,numeric,547,91.99,DROP_BASELINE
h1_lactate_min,CONTINUOUS,numeric,536,91.99,DROP_BASELINE
h1_platelets_max,CONTINUOUS,numeric,544,82.51,DROP_BASELINE
h1_platelets_min,CONTINUOUS,numeric,545,82.51,DROP_BASELINE
h1_potassium_max,CONTINUOUS,numeric,115,78.62,KEEP_FOR_NOW
h1_potassium_min,CONTINUOUS,numeric,113,78.62,KEEP_FOR_NOW
h1_sodium_max,CONTINUOUS,numeric,99,79.18,KEEP_FOR_NOW
h1_sodium_min,CONTINUOUS,numeric,113,79.18,KEEP_FOR_NOW
h1_wbc_max,CONTINUOUS,numeric,2075,82.82,DROP_BASELINE
h1_wbc_min,CONTINUOUS,numeric,2072,82.82,DROP_BASELINE
d1_arterial_pco2_max,CONTINUOUS,numeric,831,64.63,KEEP_FOR_NOW
d1_arterial_pco2_min,CONTINUOUS,numeric,674,64.63,KEEP_FOR_NOW
d1_arterial_ph_max,CONTINUOUS,numeric,527,65.56,KEEP_FOR_NOW
d1_arterial_ph_min,CONTINUOUS,numeric,624,65.56,KEEP_FOR_NOW
d1_arterial_po2_max,CONTINUOUS,numeric,2428,64.62,KEEP_FOR_NOW
d1_arterial_po2_min,CONTINUOUS,numeric,1822,64.62,KEEP_FOR_NOW
d1_pao2fio2ratio_max,CONTINUOUS,numeric,5194,71.97,KEEP_FOR_NOW
d1_pao2fio2ratio_min,CONTINUOUS,numeric,4990,71.97,KEEP_FOR_NOW
h1_arterial_pco2_max,CONTINUOUS,numeric,779,82.82,DROP_BASELINE
h1_arterial_pco2_min,CONTINUOUS,numeric,768,82.82,DROP_BASELINE
h1_arterial_ph_max,CONTINUOUS,numeric,561,83.33,DROP_BASELINE
h1_arterial_ph_min,CONTINUOUS,numeric,579,83.33,DROP_BASELINE
h1_arterial_po2_max,CONTINUOUS,numeric,1737,82.81,DROP_BASELINE
h1_arterial_po2_min,CONTINUOUS,numeric,1729,82.81,DROP_BASELINE
h1_pao2fio2ratio_max,CONTINUOUS,numeric,3142,87.44,DROP_BASELINE
h1_pao2fio2ratio_min,CONTINUOUS,numeric,3122,87.44,DROP_BASELINE
apache_4a_hospital_death_prob,DERIVED_PREDICTION,numeric,101,8.67,INVESTIGATE
apache_4a_icu_death_prob,DERIVED_PREDICTION,numeric,99,8.67,INVESTIGATE
aids,BINARY,binary,2,0.78,KEEP_FOR_NOW
cirrhosis,BINARY,binary,2,0.78,KEEP_FOR_NOW
diabetes_mellitus,BINARY,binary,2,0.78,KEEP_FOR_NOW
hepatic_failure,BINARY,binary,2,0.78,KEEP_FOR_NOW
immunosuppression,BINARY,binary,2,0.78,KEEP_FOR_NOW
leukemia,BINARY,binary,2,0.78,KEEP_FOR_NOW
lymphoma,BINARY,binary,2,0.78,KEEP_FOR_NOW
solid_tumor_with_metastasis,BINARY,binary,2,0.78,KEEP_FOR_NOW
apache_3j_bodysystem,CATEGORICAL,string,11,1.81,KEEP_FOR_NOW
apache_2_bodysystem,CATEGORICAL,string,10,1.81,CLEAN_KEEP
