feature,semantic_type,level1_status,survived_nonmissing,died_nonmissing,survived_missing_percent,died_missing_percent,plot_file
age,CONTINUOUS,KEEP_FOR_NOW,80212,7273,4.28,8.11,age_target_distribution.png
albumin_apache,CONTINUOUS,KEEP_FOR_NOW,33177,4157,60.41,47.48,albumin_apache_target_distribution.png
bilirubin_apache,CONTINUOUS,KEEP_FOR_NOW,29816,3763,64.42,52.46,bilirubin_apache_target_distribution.png
bmi,CONTINUOUS,KEEP_FOR_NOW,80732,7552,3.66,4.59,bmi_target_distribution.png
bun_apache,CONTINUOUS,KEEP_FOR_NOW,65983,6468,21.26,18.28,bun_apache_target_distribution.png
creatinine_apache,CONTINUOUS,KEEP_FOR_NOW,66397,6463,20.77,18.34,creatinine_apache_target_distribution.png
d1_albumin_max,CONTINUOUS,KEEP_FOR_NOW,37912,4705,54.76,40.56,d1_albumin_max_target_distribution.png
d1_albumin_min,CONTINUOUS,KEEP_FOR_NOW,37912,4705,54.76,40.56,d1_albumin_min_target_distribution.png
d1_arterial_pco2_max,CONTINUOUS,KEEP_FOR_NOW,27179,5263,67.57,33.51,d1_arterial_pco2_max_target_distribution.png
d1_arterial_pco2_min,CONTINUOUS,KEEP_FOR_NOW,27179,5263,67.57,33.51,d1_arterial_pco2_min_target_distribution.png
d1_arterial_ph_max,CONTINUOUS,KEEP_FOR_NOW,26456,5134,68.43,35.14,d1_arterial_ph_max_target_distribution.png
d1_arterial_ph_min,CONTINUOUS,KEEP_FOR_NOW,26456,5134,68.43,35.14,d1_arterial_ph_min_target_distribution.png
d1_arterial_po2_max,CONTINUOUS,KEEP_FOR_NOW,27184,5267,67.56,33.46,d1_arterial_po2_max_target_distribution.png
d1_arterial_po2_min,CONTINUOUS,KEEP_FOR_NOW,27184,5267,67.56,33.46,d1_arterial_po2_min_target_distribution.png
d1_bilirubin_max,CONTINUOUS,KEEP_FOR_NOW,33800,4240,59.66,46.43,d1_bilirubin_max_target_distribution.png
d1_bilirubin_min,CONTINUOUS,KEEP_FOR_NOW,33800,4240,59.66,46.43,d1_bilirubin_min_target_distribution.png
d1_bun_max,CONTINUOUS,KEEP_FOR_NOW,74124,7075,11.54,10.61,d1_bun_max_target_distribution.png
d1_bun_min,CONTINUOUS,KEEP_FOR_NOW,74124,7075,11.54,10.61,d1_bun_min_target_distribution.png
d1_calcium_max,CONTINUOUS,KEEP_FOR_NOW,71799,6845,14.32,13.52,d1_calcium_max_target_distribution.png
d1_calcium_min,CONTINUOUS,KEEP_FOR_NOW,71799,6845,14.32,13.52,d1_calcium_min_target_distribution.png
d1_creatinine_max,CONTINUOUS,KEEP_FOR_NOW,74483,7061,11.12,10.79,d1_creatinine_max_target_distribution.png
d1_creatinine_min,CONTINUOUS,KEEP_FOR_NOW,74483,7061,11.12,10.79,d1_creatinine_min_target_distribution.png
d1_diasbp_invasive_max,CONTINUOUS,KEEP_FOR_NOW,20736,2993,75.25,62.19,d1_diasbp_invasive_max_target_distribution.png
d1_diasbp_invasive_min,CONTINUOUS,KEEP_FOR_NOW,20736,2993,75.25,62.19,d1_diasbp_invasive_min_target_distribution.png
d1_diasbp_max,CONTINUOUS,KEEP_FOR_NOW,83664,7884,0.16,0.39,d1_diasbp_max_target_distribution.png
d1_diasbp_min,CONTINUOUS,KEEP_FOR_NOW,83664,7884,0.16,0.39,d1_diasbp_min_target_distribution.png
d1_diasbp_noninvasive_max,CONTINUOUS,KEEP_FOR_NOW,82867,7806,1.11,1.38,d1_diasbp_noninvasive_max_target_distribution.png
d1_diasbp_noninvasive_min,CONTINUOUS,KEEP_FOR_NOW,82867,7806,1.11,1.38,d1_diasbp_noninvasive_min_target_distribution.png
d1_glucose_max,CONTINUOUS,KEEP_FOR_NOW,78454,7452,6.38,5.85,d1_glucose_max_target_distribution.png
d1_glucose_min,CONTINUOUS,KEEP_FOR_NOW,78454,7452,6.38,5.85,d1_glucose_min_target_distribution.png
d1_hco3_max,CONTINUOUS,KEEP_FOR_NOW,69908,6734,16.58,14.92,d1_hco3_max_target_distribution.png
d1_hco3_min,CONTINUOUS,KEEP_FOR_NOW,69908,6734,16.58,14.92,d1_hco3_min_target_distribution.png
d1_heartrate_max,CONTINUOUS,KEEP_FOR_NOW,83673,7895,0.15,0.25,d1_heartrate_max_target_distribution.png
d1_heartrate_min,CONTINUOUS,KEEP_FOR_NOW,83673,7895,0.15,0.25,d1_heartrate_min_target_distribution.png
d1_hemaglobin_max,CONTINUOUS,KEEP_FOR_NOW,72614,6952,13.35,12.17,d1_hemaglobin_max_target_distribution.png
