feature,semantic_type,survived_q1,survived_median,survived_q3,died_q1,died_median,died_q3,q1_difference,median_difference,q3_difference
age,CONTINUOUS,52.0,64.0,75.0,60.0,71.0,80.0,8.0,7.0,5.0
albumin_apache,CONTINUOUS,2.5,3.0,3.4,2.0,2.5,3.0,-0.5,-0.5,-0.4
bilirubin_apache,CONTINUOUS,0.4,0.6,1.0,0.5,0.9,1.7,0.1,0.3,0.7
bmi,CONTINUOUS,23.7387,27.7681,32.9929,22.5756,26.6358,32.1952,-1.1631,-1.1323,-0.7977
bun_apache,CONTINUOUS,12.0,18.0,30.0,20.0,31.0,50.0,8.0,13.0,20.0
creatinine_apache,CONTINUOUS,0.71,0.94,1.43,0.93,1.55,2.5,0.22,0.61,1.07
d1_albumin_max,CONTINUOUS,2.6,3.0,3.5,2.1,2.6,3.1,-0.5,-0.4,-0.4
d1_albumin_min,CONTINUOUS,2.5,3.0,3.4,2.0,2.5,3.0,-0.5,-0.5,-0.4
d1_arterial_pco2_max,CONTINUOUS,36.6,42.9,50.0,34.35,42.0,54.0,-2.25,-0.9,4.0
d1_arterial_pco2_min,CONTINUOUS,32.2,37.4,43.0,28.8,34.4,41.8,-3.4,-3.0,-1.2
d1_arterial_ph_max,CONTINUOUS,7.35,7.398,7.44,7.303,7.38,7.44,-0.047,-0.018,0.0
d1_arterial_ph_min,CONTINUOUS,7.29,7.345,7.4,7.17,7.29,7.382,-0.12,-0.055,-0.018
d1_arterial_po2_max,CONTINUOUS,88.0,125.9,202.0,89.0,136.0,228.0,1.0,10.1,26.0
d1_arterial_po2_min,CONTINUOUS,70.0,86.0,117.0,62.2,79.0,113.0,-7.8,-7.0,-4.0
d1_bilirubin_max,CONTINUOUS,0.4,0.6,1.0,0.5,0.9,1.7,0.1,0.3,0.7
d1_bilirubin_min,CONTINUOUS,0.4,0.6,1.0,0.5,0.8,1.5,0.1,0.2,0.5
d1_bun_max,CONTINUOUS,12.0,18.0,29.0,20.0,31.0,50.0,8.0,13.0,21.0
d1_bun_min,CONTINUOUS,11.0,17.0,27.0,18.0,28.0,45.0,7.0,11.0,18.0
d1_calcium_max,CONTINUOUS,7.9,8.4,8.9,7.6,8.2,8.8,-0.3,-0.2,-0.1
d1_calcium_min,CONTINUOUS,7.8,8.3,8.7,7.2,7.9,8.5,-0.6,-0.4,-0.2
d1_creatinine_max,CONTINUOUS,0.75,0.98,1.42,0.99,1.55,2.5,0.24,0.57,1.08
d1_creatinine_min,CONTINUOUS,0.7,0.92,1.32,0.9,1.37,2.2,0.2,0.45,0.88
d1_diasbp_invasive_max,CONTINUOUS,65.0,75.0,88.0,62.0,73.0,87.0,-3.0,-2.0,-1.0
d1_diasbp_invasive_min,CONTINUOUS,40.0,46.0,54.0,33.0,42.0,49.0,-7.0,-4.0,-5.0
d1_diasbp_max,CONTINUOUS,75.0,86.0,99.0,73.0,86.0,100.0,-2.0,0.0,1.0
d1_diasbp_min,CONTINUOUS,42.0,51.0,59.0,33.0,43.0,51.0,-9.0,-8.0,-8.0
d1_diasbp_noninvasive_max,CONTINUOUS,75.0,87.0,99.0,73.0,86.0,100.0,-2.0,-1.0,1.0
d1_diasbp_noninvasive_min,CONTINUOUS,42.0,51.0,59.0,33.0,43.0,51.0,-9.0,-8.0,-8.0
d1_glucose_max,CONTINUOUS,116.0,148.0,198.0,131.0,171.0,235.0,15.0,23.0,37.0
d1_glucose_min,CONTINUOUS,91.0,107.0,130.0,87.0,111.0,140.0,-4.0,4.0,10.0
d1_hco3_max,CONTINUOUS,22.0,24.0,27.0,19.0,22.0,26.0,-3.0,-2.0,-1.0
d1_hco3_min,CONTINUOUS,21.0,24.0,26.0,16.0,21.0,24.0,-5.0,-3.0,-2.0
