feature,value,patient_count,death_count,mortality_rate
aids,0.0,90920,7820,8.601
aids,1.0,78,10,12.8205
apache_post_operative,0.0,73269,7187,9.8091
apache_post_operative,1.0,18444,728,3.9471
arf_apache,0.0,88452,7496,8.4747
arf_apache,1.0,2546,334,13.1186
cirrhosis,0.0,89570,7582,8.4649
cirrhosis,1.0,1428,248,17.3669
diabetes_mellitus,0.0,70506,6235,8.8432
diabetes_mellitus,1.0,20492,1595,7.7835
elective_surgery,0.0,74862,7394,9.8768
elective_surgery,1.0,16851,521,3.0918
gcs_unable_apache,0.0,89812,7586,8.4465
gcs_unable_apache,1.0,864,202,23.3796
hepatic_failure,0.0,89816,7616,8.4796
hepatic_failure,1.0,1182,214,18.1049
immunosuppression,0.0,88617,7446,8.4025
immunosuppression,1.0,2381,384,16.1277
intubated_apache,0.0,77237,5063,6.5551
intubated_apache,1.0,13761,2767,20.1076
leukemia,0.0,90355,7711,8.5341
leukemia,1.0,643,119,18.507
lymphoma,0.0,90622,7767,8.5708
lymphoma,1.0,376,63,16.7553
solid_tumor_with_metastasis,0.0,89120,7483,8.3965
solid_tumor_with_metastasis,1.0,1878,347,18.4771
ventilated_apache,0.0,61358,2545,4.1478
ventilated_apache,1.0,29640,5285,17.8306
