feature,diagnosis_code,patient_count,death_count,mortality_rate
apache_2_diagnosis,113,11740,1854,15.7922
apache_2_diagnosis,301,6807,496,7.2866
apache_2_diagnosis,302,6702,237,3.5363
apache_2_diagnosis,112,4350,191,4.3908
apache_2_diagnosis,308,4114,92,2.2363
apache_2_diagnosis,117,3923,203,5.1746
apache_2_diagnosis,124,3906,208,5.3251
apache_2_diagnosis,122,3768,32,0.8493
apache_2_diagnosis,303,3329,317,9.5224
apache_2_diagnosis,110,3206,329,10.262
apache_2_diagnosis,304,3104,285,9.1817
apache_2_diagnosis,203,2631,76,2.8886
apache_2_diagnosis,202,2481,82,3.3051
apache_2_diagnosis,106,2476,374,15.105
apache_2_diagnosis,305,2275,131,5.7582
apache_2_diagnosis,114,2257,1126,49.8892
apache_2_diagnosis,121,2215,316,14.2664
apache_2_diagnosis,123,2064,16,0.7752
apache_2_diagnosis,102,1883,143,7.5943
apache_2_diagnosis,307,1818,68,3.7404
apache_2_diagnosis,119,1721,151,8.774
apache_2_diagnosis,<MISSING>,1662,136,8.1829
apache_2_diagnosis,120,1377,47,3.4132
apache_2_diagnosis,118,1355,59,4.3542
apache_2_diagnosis,108,1177,232,19.7111
apache_2_diagnosis,214,1167,136,11.6538
apache_2_diagnosis,109,1071,15,1.4006
apache_2_diagnosis,105,1037,59,5.6895
apache_2_diagnosis,213,750,32,4.2667
apache_2_diagnosis,207,643,29,4.5101
apache_2_diagnosis,306,638,58,9.0909
apache_2_diagnosis,218,553,12,2.17
apache_2_diagnosis,217,483,66,13.6646
apache_2_diagnosis,209,480,14,2.9167
apache_2_diagnosis,219,461,3,0.6508
apache_2_diagnosis,101,376,5,1.3298
apache_2_diagnosis,104,363,50,13.7741
apache_2_diagnosis,103,291,52,17.8694
apache_2_diagnosis,115,251,73,29.0837
apache_2_diagnosis,116,204,21,10.2941
apache_2_diagnosis,107,197,55,27.9188
apache_2_diagnosis,215,159,5,3.1447
apache_2_diagnosis,208,123,20,16.2602
apache_2_diagnosis,212,99,9,9.0909
apache_2_diagnosis,216,26,0,0.0
apache_3j_diagnosis,501.05,4481,804,17.9424
apache_3j_diagnosis,107.01,4350,191,4.3908
apache_3j_diagnosis,106.01,3923,203,5.1746
apache_3j_diagnosis,403.01,3789,349,9.2109
apache_3j_diagnosis,703.03,3106,24,0.7727
apache_3j_diagnosis,104.01,2956,319,10.7916
apache_3j_diagnosis,502.01,2842,298,10.4856
apache_3j_diagnosis,1207.01,2763,32,1.1582
apache_3j_diagnosis,102.01,2239,1125,50.2456
apache_3j_diagnosis,702.01,2064,16,0.7752
apache_3j_diagnosis,212.01,1997,303,15.1728
apache_3j_diagnosis,206.01,1883,143,7.5943
apache_3j_diagnosis,1206.03,1848,36,1.9481
apache_3j_diagnosis,305.02,1609,91,5.6557
apache_3j_diagnosis,501.02,1475,306,20.7458
apache_3j_diagnosis,111.01,1449,22,1.5183
apache_3j_diagnosis,410.01,1415,91,6.4311
apache_3j_diagnosis,407.01,1377,47,3.4132
apache_3j_diagnosis,306.01,1254,49,3.9075
apache_3j_diagnosis,501.06,1245,218,17.51
apache_3j_diagnosis,401.01,1243,217,17.4578
apache_3j_diagnosis,901.03,1237,100,8.0841
apache_3j_diagnosis,203.01,1177,232,19.7111
apache_3j_diagnosis,<MISSING>,1101,129,11.7166
apache_3j_diagnosis,108.01,1071,15,1.4006
apache_3j_diagnosis,207.01,1037,59,5.6895
apache_3j_diagnosis,1205.01,1000,10,1.0
apache_3j_diagnosis,501.01,992,105,10.5847
apache_3j_diagnosis,305.01,945,61,6.455
apache_3j_diagnosis,601.01,896,82,9.1518
apache_3j_diagnosis,704.01,813,38,4.674
apache_3j_diagnosis,211.09,726,92,12.6722
apache_3j_diagnosis,501.04,665,120,18.0451
apache_3j_diagnosis,109.09,633,56,8.8468
apache_3j_diagnosis,409.02,632,57,9.019
apache_3j_diagnosis,1404.01,630,65,10.3175
apache_3j_diagnosis,1212.03,541,24,4.4362
apache_3j_diagnosis,1401.01,537,71,13.2216
apache_3j_diagnosis,703.02,528,6,1.1364
apache_3j_diagnosis,109.04,521,11,2.1113
apache_3j_diagnosis,1505.01,465,11,2.3656
apache_3j_diagnosis,208.01,463,13,2.8078
apache_3j_diagnosis,1204.01,450,5,1.1111
apache_3j_diagnosis,211.03,425,76,17.8824
apache_3j_diagnosis,405.01,404,13,3.2178
apache_3j_diagnosis,1302.02,403,12,2.9777
apache_3j_diagnosis,105.02,389,12,3.0848
apache_3j_diagnosis,109.02,387,6,1.5504
apache_3j_diagnosis,0.25,387,2,0.5168
apache_3j_diagnosis,109.1,376,24,6.383
apache_3j_diagnosis,209.01,376,5,1.3298
apache_3j_diagnosis,802.01,374,24,6.4171
apache_3j_diagnosis,212.02,371,60,16.1725
apache_3j_diagnosis,201.01,363,50,13.7741
apache_3j_diagnosis,311.01,349,16,4.5845
apache_3j_diagnosis,109.03,335,14,4.1791
apache_3j_diagnosis,1504.03,311,3,0.9646
apache_3j_diagnosis,1405.02,301,10,3.3223
apache_3j_diagnosis,109.14,299,8,2.6756
apache_3j_diagnosis,204.01,291,52,17.8694
apache_3j_diagnosis,701.02,280,14,5.0
apache_3j_diagnosis,109.16,265,11,4.1509
apache_3j_diagnosis,408.02,262,13,4.9618
apache_3j_diagnosis,109.01,254,1,0.3937
apache_3j_diagnosis,1406.01,253,10,3.9526
apache_3j_diagnosis,309.01,250,35,14.0
apache_3j_diagnosis,110.01,250,10,4.0
apache_3j_diagnosis,101.01,249,72,28.9157
apache_3j_diagnosis,1102.01,245,14,5.7143
apache_3j_diagnosis,402.02,244,28,11.4754
apache_3j_diagnosis,1602.12,243,8,3.2922
apache_3j_diagnosis,601.06,242,23,9.5041
apache_3j_diagnosis,1904.01,236,13,5.5085
apache_3j_diagnosis,701.01,233,5,2.1459
apache_3j_diagnosis,704.07,208,7,3.3654
apache_3j_diagnosis,103.01,204,21,10.2941
apache_3j_diagnosis,1203.02,204,3,1.4706
apache_3j_diagnosis,202.01,197,55,27.9188
apache_3j_diagnosis,301.02,195,33,16.9231
apache_3j_diagnosis,1506.07,192,9,4.6875
apache_3j_diagnosis,1502.02,185,32,17.2973
apache_3j_diagnosis,1208.06,182,8,4.3956
apache_3j_diagnosis,601.05,172,14,8.1395
apache_3j_diagnosis,1304.09,168,5,2.9762
apache_3j_diagnosis,1208.01,164,0,0.0
apache_3j_diagnosis,301.01,156,35,22.4359
apache_3j_diagnosis,211.08,155,14,9.0323
apache_3j_diagnosis,1408.03,155,13,8.3871
apache_3j_diagnosis,307.01,151,11,7.2848
apache_3j_diagnosis,603.01,151,9,5.9603
apache_3j_diagnosis,1405.07,150,5,3.3333
apache_3j_diagnosis,211.1,149,29,19.4631
apache_3j_diagnosis,1405.04,148,2,1.3514
apache_3j_diagnosis,601.04,147,13,8.8435
apache_3j_diagnosis,1902.05,147,5,3.4014
apache_3j_diagnosis,211.04,146,14,9.589
apache_3j_diagnosis,211.02,145,25,17.2414
apache_3j_diagnosis,109.08,145,12,8.2759
apache_3j_diagnosis,1802.01,140,0,0.0
apache_3j_diagnosis,1204.02,139,11,7.9137
apache_3j_diagnosis,1208.16,136,6,4.4118
apache_3j_diagnosis,703.01,134,2,1.4925
apache_3j_diagnosis,902.01,131,0,0.0
apache_3j_diagnosis,1408.06,129,7,5.4264
apache_3j_diagnosis,308.01,129,7,5.4264
apache_3j_diagnosis,109.11,129,3,2.3256
apache_3j_diagnosis,1211.01,126,7,5.5556
apache_3j_diagnosis,105.01,123,10,8.1301
apache_3j_diagnosis,602.12,122,7,5.7377
apache_3j_diagnosis,1410.01,118,24,20.339
apache_3j_diagnosis,1902.03,118,6,5.0847
apache_3j_diagnosis,1705.03,118,4,3.3898
apache_3j_diagnosis,602.09,117,4,3.4188
