feature_1,feature_2,correlation,absolute_correlation
d1_inr_max,h1_inr_max,1.0,1.0
d1_inr_min,h1_inr_min,1.0,1.0
paco2_apache,paco2_for_ph_apache,1.0,1.0
d1_diasbp_max,d1_diasbp_noninvasive_max,0.9978,0.9978
d1_diasbp_min,d1_diasbp_noninvasive_min,0.9969,0.9969
h1_mbp_min,h1_mbp_noninvasive_min,0.9967,0.9967
bilirubin_apache,d1_bilirubin_max,0.9966,0.9966
d1_sysbp_max,d1_sysbp_noninvasive_max,0.9966,0.9966
h1_sysbp_max,h1_sysbp_noninvasive_max,0.9964,0.9964
d1_sysbp_min,d1_sysbp_noninvasive_min,0.9963,0.9963
d1_mbp_min,d1_mbp_noninvasive_min,0.9955,0.9955
creatinine_apache,d1_creatinine_max,0.9938,0.9938
d1_bilirubin_max,d1_bilirubin_min,0.9881,0.9881
h1_sysbp_min,h1_sysbp_noninvasive_min,0.988,0.988
bilirubin_apache,d1_bilirubin_min,0.9877,0.9877
h1_mbp_max,h1_mbp_noninvasive_max,0.9866,0.9866
bun_apache,d1_bun_max,0.9866,0.9866
d1_mbp_max,d1_mbp_noninvasive_max,0.9847,0.9847
h1_diasbp_max,h1_diasbp_noninvasive_max,0.9843,0.9843
h1_diasbp_min,h1_diasbp_noninvasive_min,0.9817,0.9817
h1_sodium_max,h1_sodium_min,0.9786,0.9786
creatinine_apache,d1_creatinine_min,0.9703,0.9703
d1_creatinine_max,d1_creatinine_min,0.97,0.97
d1_wbc_max,wbc_apache,0.9695,0.9695
d1_hematocrit_min,hematocrit_apache,0.9687,0.9687
bun_apache,d1_bun_min,0.9675,0.9675
d1_bun_max,d1_bun_min,0.9675,0.9675
d1_hemaglobin_min,d1_hematocrit_min,0.9652,0.9652
h1_glucose_max,h1_glucose_min,0.9636,0.9636
d1_platelets_max,d1_platelets_min,0.9635,0.9635
albumin_apache,d1_albumin_max,0.9613,0.9613
h1_hemaglobin_max,h1_hemaglobin_min,0.9598,0.9598
d1_hemaglobin_max,d1_hematocrit_max,0.9553,0.9553
h1_potassium_max,h1_potassium_min,0.949,0.949
d1_hemaglobin_min,hematocrit_apache,0.9452,0.9452
albumin_apache,d1_albumin_min,0.9381,0.9381
d1_wbc_min,wbc_apache,0.9293,0.9293
d1_glucose_max,glucose_apache,0.923,0.923
d1_sodium_min,sodium_apache,0.9194,0.9194
d1_hemaglobin_max,h1_hemaglobin_max,0.9182,0.9182
d1_wbc_max,d1_wbc_min,0.9181,0.9181
d1_albumin_max,d1_albumin_min,0.9122,0.9122
d1_hematocrit_max,hematocrit_apache,0.9098,0.9098
d1_sodium_min,h1_sodium_min,0.9015,0.9015
d1_hematocrit_max,d1_hematocrit_min,0.9014,0.9014
d1_hematocrit_max,h1_hemaglobin_max,0.894,0.894
d1_sodium_max,sodium_apache,0.8916,0.8916
d1_hemaglobin_max,h1_hemaglobin_min,0.8915,0.8915
d1_hemaglobin_max,d1_hemaglobin_min,0.8903,0.8903
d1_inr_max,d1_inr_min,0.8873,0.8873
h1_inr_max,h1_inr_min,0.8873,0.8873
d1_inr_min,h1_inr_max,0.8873,0.8873
d1_inr_max,h1_inr_min,0.8873,0.8873
d1_sodium_min,h1_sodium_max,0.8868,0.8868
d1_hemaglobin_min,d1_hematocrit_max,0.886,0.886
d1_hemaglobin_min,h1_hemaglobin_min,0.8837,0.8837
d1_glucose_max,h1_glucose_max,0.8775,0.8775
bmi,weight,0.8773,0.8773
d1_hematocrit_max,h1_hemaglobin_min,0.8772,0.8772
h1_diasbp_noninvasive_min,h1_mbp_noninvasive_min,0.8751,0.8751
d1_hemaglobin_max,hematocrit_apache,0.8727,0.8727
h1_diasbp_min,h1_mbp_noninvasive_min,0.8726,0.8726
h1_diasbp_min,h1_mbp_min,0.8714,0.8714
d1_hemaglobin_min,h1_hemaglobin_max,0.8701,0.8701
h1_diasbp_noninvasive_min,h1_mbp_min,0.87,0.87
h1_temp_max,h1_temp_min,0.8678,0.8678
d1_hemaglobin_max,d1_hematocrit_min,0.8662,0.8662
d1_hematocrit_min,h1_hemaglobin_min,0.8623,0.8623
h1_sodium_min,sodium_apache,0.8614,0.8614
h1_sodium_max,sodium_apache,0.861,0.861
d1_diasbp_noninvasive_min,d1_mbp_noninvasive_min,0.8586,0.8586
h1_diasbp_noninvasive_max,h1_mbp_noninvasive_max,0.8583,0.8583
d1_diasbp_min,d1_mbp_noninvasive_min,0.8556,0.8556
h1_diasbp_max,h1_mbp_noninvasive_max,0.8554,0.8554
h1_heartrate_max,h1_heartrate_min,0.8538,0.8538
d1_diasbp_min,d1_mbp_min,0.8533,0.8533
h1_diasbp_noninvasive_max,h1_mbp_max,0.8531,0.8531
d1_diasbp_noninvasive_min,d1_mbp_min,0.8525,0.8525
