feature_1,feature_2,cramers_v
apache_2_diagnosis,apache_3j_diagnosis,0.9981
apache_3j_bodysystem,apache_3j_diagnosis,0.9979
apache_2_bodysystem,apache_3j_diagnosis,0.9979
apache_3j_diagnosis,apache_post_operative,0.9978
apache_2_bodysystem,apache_2_diagnosis,0.9485
apache_3j_diagnosis,elective_surgery,0.9372
apache_2_bodysystem,apache_3j_bodysystem,0.9191
apache_2_diagnosis,apache_3j_bodysystem,0.9171
apache_post_operative,icu_admit_source,0.9151
apache_post_operative,elective_surgery,0.9082
elective_surgery,icu_admit_source,0.8722
apache_2_diagnosis,apache_post_operative,0.8652
intubated_apache,ventilated_apache,0.8273
apache_2_diagnosis,elective_surgery,0.8022
cirrhosis,hepatic_failure,0.7989
apache_post_operative,hospital_admit_source,0.7371
immunosuppression,solid_tumor_with_metastasis,0.7324
elective_surgery,hospital_admit_source,0.7256
immunosuppression,leukemia,0.7135
arf_apache,diabetes_mellitus,0.7112
immunosuppression,lymphoma,0.7109
leukemia,lymphoma,0.7074
aids,immunosuppression,0.7073
arf_apache,cirrhosis,0.7073
aids,lymphoma,0.7073
solid_tumor_with_metastasis,ventilated_apache,0.7072
cirrhosis,diabetes_mellitus,0.7072
lymphoma,solid_tumor_with_metastasis,0.7072
arf_apache,hepatic_failure,0.7072
diabetes_mellitus,solid_tumor_with_metastasis,0.7072
arf_apache,leukemia,0.7071
intubated_apache,solid_tumor_with_metastasis,0.7071
aids,cirrhosis,0.7071
aids,arf_apache,0.7071
diabetes_mellitus,ventilated_apache,0.7071
diabetes_mellitus,hepatic_failure,0.7071
aids,diabetes_mellitus,0.7071
immunosuppression,intubated_apache,0.7071
arf_apache,solid_tumor_with_metastasis,0.7071
hepatic_failure,solid_tumor_with_metastasis,0.7071
aids,intubated_apache,0.7071
leukemia,solid_tumor_with_metastasis,0.7071
cirrhosis,solid_tumor_with_metastasis,0.7071
cirrhosis,leukemia,0.7071
aids,ventilated_apache,0.7071
cirrhosis,intubated_apache,0.7071
hepatic_failure,ventilated_apache,0.7071
intubated_apache,lymphoma,0.7071
arf_apache,lymphoma,0.7071
lymphoma,ventilated_apache,0.7071
intubated_apache,leukemia,0.7071
aids,hepatic_failure,0.7071
hepatic_failure,immunosuppression,0.7071
cirrhosis,immunosuppression,0.7071
diabetes_mellitus,leukemia,0.7071
immunosuppression,ventilated_apache,0.7071
diabetes_mellitus,immunosuppression,0.7071
aids,leukemia,0.7071
diabetes_mellitus,lymphoma,0.7071
cirrhosis,ventilated_apache,0.7071
arf_apache,immunosuppression,0.7071
diabetes_mellitus,intubated_apache,0.7071
arf_apache,ventilated_apache,0.7071
leukemia,ventilated_apache,0.7071
arf_apache,intubated_apache,0.7071
hepatic_failure,intubated_apache,0.7071
hepatic_failure,lymphoma,0.7071
aids,solid_tumor_with_metastasis,0.7071
hepatic_failure,leukemia,0.7071
cirrhosis,lymphoma,0.7071
