feature,semantic_type,missing_percent,final_data_status,baseline_status,missing_strategy,encoding_strategy,cleaning_action,special_value_action,redundancy_status,redundancy_with,leakage_status,decision_reason,baseline_reason,level2_evidence,future_experiment,requires_review,review_reason
encounter_id,IDENTIFIER,0.0,DROP,DROP,NONE,NONE,NONE,NONE,NONE,,NONE,PURE_IDENTIFIER,FINAL_DATA_DROP,NONE,NONE,False,
patient_id,IDENTIFIER,0.0,DROP,DROP,NONE,NONE,NONE,NONE,NONE,,NONE,PURE_IDENTIFIER,FINAL_DATA_DROP,NONE,NONE,False,
hospital_id,IDENTIFIER,0.0,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,SITE_GENERALIZATION_RISK,NONE,SITE_ID_ABLATION,True,SITE_GENERALIZATION
hospital_death,TARGET,0.0,TARGET,TARGET,NONE,NONE,NONE,NONE,NONE,,NONE,TARGET_VARIABLE,TARGET_VARIABLE,NONE,NONE,False,
age,CONTINUOUS,4.61,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
bmi,CONTINUOUS,3.74,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,weight,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=weight:0.8773,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
elective_surgery,BINARY,0.0,KEEP,KEEP,NONE,BINARY,NONE,NONE,HIGH_CATEGORICAL_ASSOCIATION,apache_3j_diagnosis,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CATEGORICAL_ASSOCIATION_WITH=apache_3j_diagnosis:0.9372,REDUNDANCY_ABLATION,True,HIGH_CATEGORICAL_ASSOCIATION
ethnicity,CATEGORICAL,1.52,KEEP,KEEP,MODE,ONE_HOT,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
gender,CATEGORICAL,0.03,KEEP,KEEP,MODE,ONE_HOT,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
height,CONTINUOUS,1.45,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
hospital_admit_source,CATEGORICAL,23.34,KEEP,KEEP,UNKNOWN_CATEGORY,ONE_HOT,NONE,NONE,HIGH_CATEGORICAL_ASSOCIATION,apache_post_operative,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CATEGORICAL_ASSOCIATION_WITH=apache_post_operative:0.7371,REDUNDANCY_ABLATION,True,HIGH_CATEGORICAL_ASSOCIATION
icu_admit_source,CATEGORICAL,0.12,KEEP,KEEP,MODE,ONE_HOT,NONE,NONE,HIGH_CATEGORICAL_ASSOCIATION,apache_post_operative,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CATEGORICAL_ASSOCIATION_WITH=apache_post_operative:0.9151,REDUNDANCY_ABLATION,True,HIGH_CATEGORICAL_ASSOCIATION
icu_id,IDENTIFIER,0.0,KEEP,DROP_BASELINE,NONE,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,SITE_GENERALIZATION_RISK,NONE,SITE_ID_ABLATION,True,SITE_GENERALIZATION
icu_stay_type,CATEGORICAL,0.0,KEEP,KEEP,NONE,ONE_HOT,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
icu_type,CATEGORICAL,0.0,KEEP,KEEP,NONE,ONE_HOT,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
pre_icu_los_days,CONTINUOUS,0.0,KEEP,KEEP,NONE,NONE,NONE,REVIEW_NEGATIVE_VALUES,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,SPECIAL_VALUE_REVIEW,True,REVIEW_NEGATIVE_VALUES
readmission_status,BINARY,0.0,DROP,DROP,NONE,NONE,NONE,NONE,NONE,,NONE,LEVEL1_CONFIRMED_DROP,FINAL_DATA_DROP,NONE,NONE,False,
weight,CONTINUOUS,2.97,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,bmi,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=bmi:0.8773,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
albumin_apache,CONTINUOUS,59.29,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,d1_albumin_max,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=d1_albumin_max:0.9613,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
apache_2_diagnosis,CATEGORICAL_CODE,1.81,KEEP,KEEP,MODE,ONE_HOT,NONE,NONE,HIGH_CATEGORICAL_ASSOCIATION,apache_3j_diagnosis,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CATEGORICAL_ASSOCIATION_WITH=apache_3j_diagnosis:0.9981,REDUNDANCY_ABLATION,True,HIGH_CATEGORICAL_ASSOCIATION
apache_3j_diagnosis,CATEGORICAL_CODE,1.2,KEEP,KEEP,MODE,ONE_HOT,NONE,NONE,HIGH_CATEGORICAL_ASSOCIATION,apache_2_diagnosis,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CATEGORICAL_ASSOCIATION_WITH=apache_2_diagnosis:0.9981,REDUNDANCY_ABLATION,True,HIGH_CATEGORICAL_ASSOCIATION
apache_post_operative,BINARY,0.0,KEEP,KEEP,NONE,BINARY,NONE,NONE,HIGH_CATEGORICAL_ASSOCIATION,apache_3j_diagnosis,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CATEGORICAL_ASSOCIATION_WITH=apache_3j_diagnosis:0.9978,REDUNDANCY_ABLATION,True,HIGH_CATEGORICAL_ASSOCIATION
arf_apache,BINARY,0.78,KEEP,KEEP,MODE,BINARY,NONE,NONE,HIGH_CATEGORICAL_ASSOCIATION,diabetes_mellitus,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CATEGORICAL_ASSOCIATION_WITH=diabetes_mellitus:0.7112,REDUNDANCY_ABLATION,True,HIGH_CATEGORICAL_ASSOCIATION
bilirubin_apache,CONTINUOUS,63.39,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,d1_bilirubin_max,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=d1_bilirubin_max:0.9966,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
bun_apache,CONTINUOUS,21.0,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,d1_bun_max,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=d1_bun_max:0.9866,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
creatinine_apache,CONTINUOUS,20.56,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,d1_creatinine_max,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=d1_creatinine_max:0.9938,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
fio2_apache,CONTINUOUS,77.27,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
gcs_eyes_apache,ORDINAL,2.07,KEEP,KEEP,MEDIAN,ORDINAL,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
gcs_motor_apache,ORDINAL,2.07,KEEP,KEEP,MEDIAN,ORDINAL,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
gcs_unable_apache,BINARY,1.13,KEEP,KEEP,MODE,BINARY,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
gcs_verbal_apache,ORDINAL,2.07,KEEP,KEEP,MEDIAN,ORDINAL,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
glucose_apache,CONTINUOUS,12.03,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,HIGH_CORRELATION,d1_glucose_max,NONE,FEATURE_RETAINED,BASELINE_FEATURE,HIGH_CORRELATION_WITH=d1_glucose_max:0.9230,REDUNDANCY_ABLATION,True,HIGH_CORRELATION
heart_rate_apache,CONTINUOUS,0.96,KEEP,KEEP,MEDIAN,NONE,NONE,NONE,NONE,,NONE,FEATURE_RETAINED,BASELINE_FEATURE,NONE,NONE,False,
