feature,semantic_type,missing_percent,final_data_status,baseline_status,special_value_action,redundancy_status,redundancy_with,leakage_status,level2_evidence,review_reason,future_experiment
hospital_id,IDENTIFIER,0.0,KEEP,DROP_BASELINE,NONE,NONE,,NONE,NONE,SITE_GENERALIZATION,SITE_ID_ABLATION
bmi,CONTINUOUS,3.74,KEEP,KEEP,NONE,HIGH_CORRELATION,weight,NONE,HIGH_CORRELATION_WITH=weight:0.8773,HIGH_CORRELATION,REDUNDANCY_ABLATION
elective_surgery,BINARY,0.0,KEEP,KEEP,NONE,HIGH_CATEGORICAL_ASSOCIATION,apache_3j_diagnosis,NONE,HIGH_CATEGORICAL_ASSOCIATION_WITH=apache_3j_diagnosis:0.9372,HIGH_CATEGORICAL_ASSOCIATION,REDUNDANCY_ABLATION
hospital_admit_source,CATEGORICAL,23.34,KEEP,KEEP,NONE,HIGH_CATEGORICAL_ASSOCIATION,apache_post_operative,NONE,HIGH_CATEGORICAL_ASSOCIATION_WITH=apache_post_operative:0.7371,HIGH_CATEGORICAL_ASSOCIATION,REDUNDANCY_ABLATION
icu_admit_source,CATEGORICAL,0.12,KEEP,KEEP,NONE,HIGH_CATEGORICAL_ASSOCIATION,apache_post_operative,NONE,HIGH_CATEGORICAL_ASSOCIATION_WITH=apache_post_operative:0.9151,HIGH_CATEGORICAL_ASSOCIATION,REDUNDANCY_ABLATION
icu_id,IDENTIFIER,0.0,KEEP,DROP_BASELINE,NONE,NONE,,NONE,NONE,SITE_GENERALIZATION,SITE_ID_ABLATION
pre_icu_los_days,CONTINUOUS,0.0,KEEP,KEEP,REVIEW_NEGATIVE_VALUES,NONE,,NONE,NONE,REVIEW_NEGATIVE_VALUES,SPECIAL_VALUE_REVIEW
weight,CONTINUOUS,2.97,KEEP,KEEP,NONE,HIGH_CORRELATION,bmi,NONE,HIGH_CORRELATION_WITH=bmi:0.8773,HIGH_CORRELATION,REDUNDANCY_ABLATION
albumin_apache,CONTINUOUS,59.29,KEEP,KEEP,NONE,HIGH_CORRELATION,d1_albumin_max,NONE,HIGH_CORRELATION_WITH=d1_albumin_max:0.9613,HIGH_CORRELATION,REDUNDANCY_ABLATION
apache_2_diagnosis,CATEGORICAL_CODE,1.81,KEEP,KEEP,NONE,HIGH_CATEGORICAL_ASSOCIATION,apache_3j_diagnosis,NONE,HIGH_CATEGORICAL_ASSOCIATION_WITH=apache_3j_diagnosis:0.9981,HIGH_CATEGORICAL_ASSOCIATION,REDUNDANCY_ABLATION
apache_3j_diagnosis,CATEGORICAL_CODE,1.2,KEEP,KEEP,NONE,HIGH_CATEGORICAL_ASSOCIATION,apache_2_diagnosis,NONE,HIGH_CATEGORICAL_ASSOCIATION_WITH=apache_2_diagnosis:0.9981,HIGH_CATEGORICAL_ASSOCIATION,REDUNDANCY_ABLATION
