feature,missing_percent,missingness_level,mean,median,relative_difference_percent,relative_difference_category,skewness,skewness_category,missing_value_treatment_candidate,treatment_reason
h1_bilirubin_min,92.26500059969688,very_extreme,1.0977516210882436,0.6,82.95860351470729,very_large,9.158105598450598,very_strongly_skewed,KEEP — MEDIAN CANDIDATE,Distribution is very strongly skewed; median is more robust to extreme values.
h1_bilirubin_max,92.26500059969688,very_extreme,1.0986115026783196,0.6,83.10191711305328,very_large,9.149274608930341,very_strongly_skewed,KEEP — MEDIAN CANDIDATE,Distribution is very strongly skewed; median is more robust to extreme values.
h1_lactate_max,91.99241110856694,very_extreme,3.068860294117647,2.05,49.700502152080354,significant,2.464702558163932,very_strongly_skewed,KEEP — MEDIAN CANDIDATE,Distribution is very strongly skewed; median is more robust to extreme values.
h1_lactate_min,91.99241110856694,very_extreme,3.0215426879084966,2.0,51.07713439542483,very_large,2.5033049891468284,very_strongly_skewed,KEEP — MEDIAN CANDIDATE,Distribution is very strongly skewed; median is more robust to extreme values.
h1_albumin_min,91.39816601790368,very_extreme,3.0290784636836103,3.1,2.287791494077089,very_small,-0.24743325274304578,approximately_symmetric,KEEP — MEAN CANDIDATE,Distribution is approximately symmetric and mean and median are highly consistent.
h1_albumin_max,91.39816601790368,very_extreme,3.0300798580301684,3.1,2.2554884506397306,very_small,-0.24767537932259615,approximately_symmetric,KEEP — MEAN CANDIDATE,Distribution is approximately symmetric and mean and median are highly consistent.
h1_pao2fio2ratio_max,87.44125696466149,extreme,244.40498172767062,223.3333333,9.435066461559245,small,0.761722478358949,moderately_skewed,KEEP — FURTHER INVESTIGATION,Distribution shows moderate skewness; current indicators do not clearly favor mean or median imputation.
h1_pao2fio2ratio_min,87.44125696466149,extreme,235.93305011669997,214.0,10.249088839579427,noticeable,0.7107040335892995,moderately_skewed,KEEP — FURTHER INVESTIGATION,Distribution shows moderate skewness; current indicators do not clearly favor mean or median imputation.
h1_arterial_ph_min,83.32951708045752,extreme,7.327882529923475,7.34,0.16508814818154216,very_small,-1.0013952049877106,strongly_skewed,KEEP — FURTHER INVESTIGATION,"Distribution is strongly skewed, but mean and median remain relatively similar."
h1_arterial_ph_max,83.32951708045752,extreme,7.338362744456799,7.35,0.15833000739047995,very_small,-0.9966152600080612,moderately_skewed,KEEP — FURTHER INVESTIGATION,Distribution shows moderate skewness; current indicators do not clearly favor mean or median imputation.
h1_hco3_max,82.969698952166,extreme,22.496696331391256,23.0,2.188276820038018,very_small,-0.4583922057315234,approximately_symmetric,KEEP — MEAN CANDIDATE,Distribution is approximately symmetric and mean and median are highly consistent.
h1_hco3_min,82.969698952166,extreme,22.42169793200589,23.0,2.5143568173656905,very_small,-0.45024004053528877,approximately_symmetric,KEEP — MEAN CANDIDATE,Distribution is approximately symmetric and mean and median are highly consistent.
