feature,missing_count,present_count,missing_percent,mortality_when_missing,mortality_when_present,mortality_difference,absolute_mortality_difference,dictionary_category
d1_pao2fio2ratio_min,66008,25705,71.97234852201979,0.052720882317294875,0.17253452635673994,0.11981364403944506,0.11981364403944506,labs blood gas
d1_pao2fio2ratio_max,66008,25705,71.97234852201979,0.052720882317294875,0.17253452635673994,0.11981364403944506,0.11981364403944506,labs blood gas
fio2_apache,70868,20845,77.27148822958577,0.059307444827002315,0.17807627728472056,0.11876883245771824,0.11876883245771824,APACHE covariate
paco2_apache,70868,20845,77.27148822958577,0.059307444827002315,0.17807627728472056,0.11876883245771824,0.11876883245771824,APACHE covariate
paco2_for_ph_apache,70868,20845,77.27148822958577,0.059307444827002315,0.17807627728472056,0.11876883245771824,0.11876883245771824,APACHE covariate
pao2_apache,70868,20845,77.27148822958577,0.059307444827002315,0.17807627728472056,0.11876883245771824,0.11876883245771824,APACHE covariate
ph_apache,70868,20845,77.27148822958577,0.059307444827002315,0.17807627728472056,0.11876883245771824,0.11876883245771824,APACHE covariate
d1_arterial_po2_min,59262,32451,64.61679369336953,0.044682933414329586,0.16230624634063665,0.11762331292630707,0.11762331292630707,labs blood gas
d1_arterial_po2_max,59262,32451,64.61679369336953,0.044682933414329586,0.16230624634063665,0.11762331292630707,0.11762331292630707,labs blood gas
d1_arterial_pco2_max,59271,32442,64.62660691505022,0.04474363516728248,0.1622279760803896,0.11748434091310712,0.11748434091310712,labs blood gas
d1_arterial_pco2_min,59271,32442,64.62660691505022,0.04474363516728248,0.1622279760803896,0.11748434091310712,0.11748434091310712,labs blood gas
d1_arterial_ph_max,60123,31590,65.55559190082104,0.04625517688738087,0.16251978474200696,0.11626460785462608,0.11626460785462608,labs blood gas
d1_arterial_ph_min,60123,31590,65.55559190082104,0.04625517688738087,0.16251978474200696,0.11626460785462608,0.11626460785462608,labs blood gas
d1_lactate_max,68396,23317,74.57612334129294,0.056933153985613195,0.17244928592872152,0.11551613194310834,0.11551613194310834,labs
d1_lactate_min,68396,23317,74.57612334129294,0.056933153985613195,0.17244928592872152,0.11551613194310834,0.11551613194310834,labs
h1_lactate_min,84369,7344,91.99241110856694,0.0781685216133888,0.17973856209150327,0.10157004047811447,0.10157004047811447,labs
h1_lactate_max,84369,7344,91.99241110856694,0.0781685216133888,0.17973856209150327,0.10157004047811447,0.10157004047811447,labs
h1_arterial_pco2_min,75959,15754,82.82250062695583,0.07439539751708159,0.1437095340865812,0.0693141365694996,0.0693141365694996,labs blood gas
h1_arterial_pco2_max,75959,15754,82.82250062695583,0.07439539751708159,0.1437095340865812,0.0693141365694996,0.0693141365694996,labs blood gas
h1_arterial_po2_min,75945,15768,82.80723561545256,0.0743959444334716,0.1436453576864536,0.06924941325298199,0.06924941325298199,labs blood gas
h1_arterial_po2_max,75945,15768,82.80723561545256,0.0743959444334716,0.1436453576864536,0.06924941325298199,0.06924941325298199,labs blood gas
h1_arterial_ph_min,76424,15289,83.32951708045752,0.07481942845179525,0.1436980835895088,0.06887865513771356,0.06887865513771356,labs blood gas
h1_arterial_ph_max,76424,15289,83.32951708045752,0.07481942845179525,0.1436980835895088,0.06887865513771356,0.06887865513771356,labs blood gas
h1_pao2fio2ratio_min,80195,11518,87.44125696466149,0.07781033730282437,0.1454245528737628,0.06761421557093843,0.06761421557093843,labs blood gas
h1_pao2fio2ratio_max,80195,11518,87.44125696466149,0.07781033730282437,0.1454245528737628,0.06761421557093843,0.06761421557093843,labs blood gas
h1_albumin_max,83824,7889,91.39816601790368,0.08100305401794236,0.1426036253010521,0.06160057128310975,0.06160057128310975,labs
h1_albumin_min,83824,7889,91.39816601790368,0.08100305401794236,0.1426036253010521,0.06160057128310975,0.06160057128310975,labs
h1_bilirubin_min,84619,7094,92.26500059969688,0.08154197047944316,0.1430786580208627,0.06153668754141954,0.06153668754141954,labs
h1_bilirubin_max,84619,7094,92.26500059969688,0.08154197047944316,0.1430786580208627,0.06153668754141954,0.06153668754141954,labs
d1_mbp_invasive_min,67777,23936,73.90119176125522,0.07217787745105271,0.1262951203208556,0.05411724286980289,0.05411724286980289,vitals
d1_mbp_invasive_max,67777,23936,73.90119176125522,0.07217787745105271,0.1262951203208556,0.05411724286980289,0.05411724286980289,vitals
h1_inr_min,57941,33772,63.17643082223894,0.06641238501234013,0.12042520431126377,0.05401281929892364,0.05401281929892364,labs
d1_inr_min,57941,33772,63.17643082223894,0.06641238501234013,0.12042520431126377,0.05401281929892364,0.05401281929892364,labs
d1_inr_max,57941,33772,63.17643082223894,0.06641238501234013,0.12042520431126377,0.05401281929892364,0.05401281929892364,labs
h1_inr_max,57941,33772,63.17643082223894,0.06641238501234013,0.12042520431126377,0.05401281929892364,0.05401281929892364,labs
d1_sysbp_invasive_min,67959,23754,74.09963691079781,0.07235244779940847,0.12621032247200473,0.053857874672596256,0.053857874672596256,vitals
d1_sysbp_invasive_max,67959,23754,74.09963691079781,0.07235244779940847,0.12621032247200473,0.053857874672596256,0.053857874672596256,vitals
d1_diasbp_invasive_min,67984,23729,74.12689585991082,0.0723993880913156,0.1261325803868684,0.05373319229555279,0.05373319229555279,vitals
d1_diasbp_invasive_max,67984,23729,74.12689585991082,0.0723993880913156,0.1261325803868684,0.05373319229555279,0.05373319229555279,vitals
d1_albumin_max,49096,42617,53.53221462606174,0.0653821085220792,0.11040195227256729,0.04501984375048809,0.04501984375048809,labs
d1_albumin_min,49096,42617,53.53221462606174,0.0653821085220792,0.11040195227256729,0.04501984375048809,0.04501984375048809,labs
d1_bilirubin_min,53673,38040,58.522783029668645,0.06847018053770051,0.11146161934805468,0.042991438810354166,0.042991438810354166,labs
d1_bilirubin_max,53673,38040,58.522783029668645,0.06847018053770051,0.11146161934805468,0.042991438810354166,0.042991438810354166,labs
albumin_apache,54379,37334,59.292575752619584,0.06910755990363927,0.1113462259602507,0.04223866605661143,0.04223866605661143,APACHE covariate
bilirubin_apache,58134,33579,63.38686990939125,0.07142119929817319,0.11206408767384377,0.04064288837567058,0.04064288837567058,APACHE covariate
h1_hco3_min,76094,15619,82.969698952166,0.08124162220411596,0.11095460656892246,0.029712984364806502,0.029712984364806502,labs
