feature,missing_percent,mortality_when_missing_percent,mortality_when_present_percent,mortality_difference_pp,dictionary_category
d1_pao2fio2ratio_min,71.97234852201979,5.272088231729487,17.253452635673995,11.981364403944507,labs blood gas
d1_pao2fio2ratio_max,71.97234852201979,5.272088231729487,17.253452635673995,11.981364403944507,labs blood gas
ph_apache,77.27148822958577,5.930744482700232,17.807627728472056,11.876883245771825,APACHE covariate
pao2_apache,77.27148822958577,5.930744482700232,17.807627728472056,11.876883245771825,APACHE covariate
paco2_for_ph_apache,77.27148822958577,5.930744482700232,17.807627728472056,11.876883245771825,APACHE covariate
fio2_apache,77.27148822958577,5.930744482700232,17.807627728472056,11.876883245771825,APACHE covariate
paco2_apache,77.27148822958577,5.930744482700232,17.807627728472056,11.876883245771825,APACHE covariate
d1_arterial_po2_max,64.61679369336953,4.468293341432958,16.230624634063666,11.762331292630709,labs blood gas
d1_arterial_po2_min,64.61679369336953,4.468293341432958,16.230624634063666,11.762331292630709,labs blood gas
d1_arterial_pco2_min,64.62660691505022,4.474363516728248,16.22279760803896,11.748434091310711,labs blood gas
d1_arterial_pco2_max,64.62660691505022,4.474363516728248,16.22279760803896,11.748434091310711,labs blood gas
d1_arterial_ph_min,65.55559190082104,4.625517688738087,16.251978474200694,11.626460785462607,labs blood gas
d1_arterial_ph_max,65.55559190082104,4.625517688738087,16.251978474200694,11.626460785462607,labs blood gas
d1_lactate_min,74.57612334129294,5.693315398561319,17.244928592872153,11.551613194310834,labs
d1_lactate_max,74.57612334129294,5.693315398561319,17.244928592872153,11.551613194310834,labs
h1_lactate_min,91.99241110856694,7.81685216133888,17.973856209150327,10.157004047811448,labs
h1_lactate_max,91.99241110856694,7.81685216133888,17.973856209150327,10.157004047811448,labs
h1_arterial_pco2_max,82.82250062695583,7.439539751708159,14.370953408658119,6.93141365694996,labs blood gas
h1_arterial_pco2_min,82.82250062695583,7.439539751708159,14.370953408658119,6.93141365694996,labs blood gas
h1_arterial_po2_min,82.80723561545256,7.4395944433471595,14.364535768645359,6.9249413252981995,labs blood gas
h1_arterial_po2_max,82.80723561545256,7.4395944433471595,14.364535768645359,6.9249413252981995,labs blood gas
h1_arterial_ph_min,83.32951708045752,7.481942845179525,14.36980835895088,6.887865513771356,labs blood gas
h1_arterial_ph_max,83.32951708045752,7.481942845179525,14.36980835895088,6.887865513771356,labs blood gas
h1_pao2fio2ratio_min,87.44125696466149,7.781033730282437,14.54245528737628,6.7614215570938425,labs blood gas
h1_pao2fio2ratio_max,87.44125696466149,7.781033730282437,14.54245528737628,6.7614215570938425,labs blood gas
h1_albumin_min,91.39816601790368,8.100305401794236,14.260362530105212,6.160057128310976,labs
h1_albumin_max,91.39816601790368,8.100305401794236,14.260362530105212,6.160057128310976,labs
h1_bilirubin_min,92.26500059969688,8.154197047944315,14.307865802086269,6.153668754141954,labs
h1_bilirubin_max,92.26500059969688,8.154197047944315,14.307865802086269,6.153668754141954,labs
d1_mbp_invasive_max,73.90119176125522,7.217787745105271,12.629512032085561,5.41172428698029,vitals
d1_mbp_invasive_min,73.90119176125522,7.217787745105271,12.629512032085561,5.41172428698029,vitals
h1_inr_max,63.17643082223894,6.641238501234013,12.042520431126377,5.401281929892364,labs
d1_inr_min,63.17643082223894,6.641238501234013,12.042520431126377,5.401281929892364,labs
d1_inr_max,63.17643082223894,6.641238501234013,12.042520431126377,5.401281929892364,labs
h1_inr_min,63.17643082223894,6.641238501234013,12.042520431126377,5.401281929892364,labs
d1_sysbp_invasive_max,74.09963691079781,7.235244779940847,12.621032247200473,5.385787467259626,vitals
d1_sysbp_invasive_min,74.09963691079781,7.235244779940847,12.621032247200473,5.385787467259626,vitals
d1_diasbp_invasive_max,74.12689585991082,7.23993880913156,12.613258038686839,5.373319229555278,vitals
d1_diasbp_invasive_min,74.12689585991082,7.23993880913156,12.613258038686839,5.373319229555278,vitals
d1_albumin_min,53.53221462606174,6.53821085220792,11.040195227256728,4.501984375048808,labs
d1_albumin_max,53.53221462606174,6.53821085220792,11.040195227256728,4.501984375048808,labs
d1_bilirubin_max,58.522783029668645,6.847018053770052,11.146161934805468,4.299143881035416,labs
d1_bilirubin_min,58.522783029668645,6.847018053770052,11.146161934805468,4.299143881035416,labs
albumin_apache,59.292575752619584,6.910755990363928,11.134622596025071,4.223866605661144,APACHE covariate
bilirubin_apache,63.38686990939125,7.142119929817318,11.206408767384376,4.064288837567058,APACHE covariate
h1_hco3_max,82.969698952166,8.124162220411597,11.095460656892246,2.97129843648065,labs
h1_hco3_min,82.969698952166,8.124162220411597,11.095460656892246,2.97129843648065,labs
h1_sodium_min,79.17852430953081,8.029800184529794,10.913280268118978,2.883480083589184,labs
h1_sodium_max,79.17852430953081,8.029800184529794,10.913280268118978,2.883480083589184,labs
h1_bun_max,81.87606991375269,8.130135435671386,10.889183010468054,2.759047574796668,labs
h1_bun_min,81.87606991375269,8.130135435671386,10.889183010468054,2.759047574796668,labs
h1_creatinine_max,81.72996194650703,8.137999119495177,10.83194079732633,2.6939416778311536,labs
h1_creatinine_min,81.72996194650703,8.137999119495177,10.83194079732633,2.6939416778311536,labs
h1_potassium_min,78.61698995780316,8.070511220215804,10.687879251440519,2.6173680312247143,labs
h1_potassium_max,78.61698995780316,8.070511220215804,10.687879251440519,2.6173680312247143,labs
h1_calcium_min,82.71782626236194,8.180535966149506,10.782334384858045,2.6017984187085386,labs
h1_calcium_max,82.71782626236194,8.180535966149506,10.782334384858045,2.6017984187085386,labs
h1_hemaglobin_min,79.73024543957781,8.162958303133077,10.467993544916622,2.3050352417835445,labs
h1_hemaglobin_max,79.73024543957781,8.162958303133077,10.467993544916622,2.3050352417835445,labs
h1_platelets_min,82.51065824910319,8.265827970346095,10.349127182044887,2.083299211698792,labs
h1_platelets_max,82.51065824910319,8.265827970346095,10.349127182044887,2.083299211698792,labs
h1_wbc_min,82.81595847916871,8.274854186141429,10.342639593908629,2.0677854077672,labs
h1_wbc_max,82.81595847916871,8.274854186141429,10.342639593908629,2.0677854077672,labs
h1_hematocrit_min,80.05408175504019,8.23208934895124,10.227956048761822,1.9958666998105823,labs
h1_hematocrit_max,80.05408175504019,8.23208934895124,10.227956048761822,1.9958666998105823,labs
h1_glucose_max,57.36809394524223,7.9389516098376856,9.560346811938924,1.6213952021012386,labs
h1_glucose_min,57.36809394524223,7.9389516098376856,9.560346811938924,1.6213952021012386,labs
h1_mbp_invasive_max,81.60675149651631,8.839719950831062,7.700515738929398,-1.1392042119016645,vitals
h1_mbp_invasive_min,81.60675149651631,8.839719950831062,7.700515738929398,-1.1392042119016645,vitals
h1_sysbp_invasive_max,81.68416691199721,8.863378495628378,7.590189308250982,-1.2731891873773966,vitals
h1_sysbp_invasive_min,81.68416691199721,8.863378495628378,7.590189308250982,-1.2731891873773966,vitals
h1_diasbp_invasive_max,81.69834156553597,8.871183002348921,7.554364015490021,-1.3168189868589,vitals
h1_diasbp_invasive_min,81.69834156553597,8.871183002348921,7.554364015490021,-1.3168189868589,vitals
urineoutput_apache,53.4253595455388,9.608555451242907,7.507901205665457,-2.1006542455774504,APACHE covariate
