base_feature,min_feature,max_feature,both_missing_percent,both_present_percent,min_only_missing_percent,max_only_missing_percent,same_missingness_pattern
h1_bilirubin,h1_bilirubin_min,h1_bilirubin_max,92.26500059969688,7.734999400303119,0.0,0.0,True
h1_lactate,h1_lactate_min,h1_lactate_max,91.99241110856694,8.007588891433057,0.0,0.0,True
h1_albumin,h1_albumin_min,h1_albumin_max,91.39816601790368,8.601833982096323,0.0,0.0,True
h1_pao2fio2ratio,h1_pao2fio2ratio_min,h1_pao2fio2ratio_max,87.44125696466149,12.558743035338502,0.0,0.0,True
h1_arterial_ph,h1_arterial_ph_min,h1_arterial_ph_max,83.32951708045752,16.670482919542486,0.0,0.0,True
h1_hco3,h1_hco3_min,h1_hco3_max,82.969698952166,17.030301047834005,0.0,0.0,True
h1_arterial_pco2,h1_arterial_pco2_min,h1_arterial_pco2_max,82.82250062695583,17.17749937304417,0.0,0.0,True
h1_wbc,h1_wbc_min,h1_wbc_max,82.81595847916871,17.18404152083129,0.0,0.0,True
h1_arterial_po2,h1_arterial_po2_min,h1_arterial_po2_max,82.80723561545256,17.192764384547445,0.0,0.0,True
h1_calcium,h1_calcium_min,h1_calcium_max,82.71782626236194,17.282173737638065,0.0,0.0,True
h1_platelets,h1_platelets_min,h1_platelets_max,82.51065824910319,17.48934175089682,0.0,0.0,True
h1_bun,h1_bun_min,h1_bun_max,81.87606991375269,18.123930086247313,0.0,0.0,True
h1_creatinine,h1_creatinine_min,h1_creatinine_max,81.72996194650703,18.27003805349296,0.0,0.0,True
h1_diasbp_invasive,h1_diasbp_invasive_min,h1_diasbp_invasive_max,81.69834156553597,18.301658434464034,0.0,0.0,True
h1_sysbp_invasive,h1_sysbp_invasive_min,h1_sysbp_invasive_max,81.68416691199721,18.31583308800279,0.0,0.0,True
h1_mbp_invasive,h1_mbp_invasive_min,h1_mbp_invasive_max,81.60675149651631,18.393248503483694,0.0,0.0,True
h1_hematocrit,h1_hematocrit_min,h1_hematocrit_max,80.05408175504019,19.94591824495982,0.0,0.0,True
h1_hemaglobin,h1_hemaglobin_min,h1_hemaglobin_max,79.73024543957781,20.269754560422186,0.0,0.0,True
h1_sodium,h1_sodium_min,h1_sodium_max,79.17852430953081,20.821475690469182,0.0,0.0,True
h1_potassium,h1_potassium_min,h1_potassium_max,78.61698995780316,21.383010042196855,0.0,0.0,True
d1_lactate,d1_lactate_min,d1_lactate_max,74.57612334129294,25.42387665870705,0.0,0.0,True
d1_diasbp_invasive,d1_diasbp_invasive_min,d1_diasbp_invasive_max,74.12689585991082,25.873104140089193,0.0,0.0,True
d1_sysbp_invasive,d1_sysbp_invasive_min,d1_sysbp_invasive_max,74.09963691079781,25.900363089202184,0.0,0.0,True
d1_mbp_invasive,d1_mbp_invasive_min,d1_mbp_invasive_max,73.90119176125522,26.09880823874478,0.0,0.0,True
d1_pao2fio2ratio,d1_pao2fio2ratio_min,d1_pao2fio2ratio_max,71.97234852201979,28.02765147798022,0.0,0.0,True
d1_arterial_ph,d1_arterial_ph_min,d1_arterial_ph_max,65.55559190082104,34.44440809917896,0.0,0.0,True
d1_arterial_pco2,d1_arterial_pco2_min,d1_arterial_pco2_max,64.62660691505022,35.37339308494979,0.0,0.0,True
d1_arterial_po2,d1_arterial_po2_min,d1_arterial_po2_max,64.61679369336953,35.38320630663046,0.0,0.0,True
d1_inr,d1_inr_min,d1_inr_max,63.17643082223894,36.82356917776106,0.0,0.0,True
h1_inr,h1_inr_min,h1_inr_max,63.17643082223894,36.82356917776106,0.0,0.0,True
d1_bilirubin,d1_bilirubin_min,d1_bilirubin_max,58.522783029668645,41.47721697033136,0.0,0.0,True
h1_glucose,h1_glucose_min,h1_glucose_max,57.36809394524223,42.63190605475778,0.0,0.0,True
d1_albumin,d1_albumin_min,d1_albumin_max,53.53221462606174,46.46778537393826,0.0,0.0,True
