base_feature,h1_feature,d1_feature,h1_missing_percent,d1_missing_percent,missingness_reduction_pp,both_missing_percent,h1_missing_d1_present_percent,both_present_percent,h1_present_d1_missing_percent
albumin_min,h1_albumin_min,d1_albumin_min,91.39816601790368,53.53221462606174,37.86595139184194,53.53221462606174,37.86595139184194,8.601833982096323,0.0
albumin_max,h1_albumin_max,d1_albumin_max,91.39816601790368,53.53221462606174,37.86595139184194,53.53221462606174,37.86595139184194,8.601833982096323,0.0
bilirubin_min,h1_bilirubin_min,d1_bilirubin_min,92.26500059969688,58.522783029668645,33.74221757002823,58.522783029668645,33.74221757002824,7.734999400303119,0.0
bilirubin_max,h1_bilirubin_max,d1_bilirubin_max,92.26500059969688,58.522783029668645,33.74221757002823,58.522783029668645,33.74221757002824,7.734999400303119,0.0
arterial_pco2_max,h1_arterial_pco2_max,d1_arterial_pco2_max,82.82250062695583,64.62660691505022,18.19589371190561,64.62660691505022,18.19589371190562,17.17749937304417,0.0
arterial_pco2_min,h1_arterial_pco2_min,d1_arterial_pco2_min,82.82250062695583,64.62660691505022,18.19589371190561,64.62660691505022,18.19589371190562,17.17749937304417,0.0
arterial_po2_max,h1_arterial_po2_max,d1_arterial_po2_max,82.80723561545256,64.61679369336953,18.190441922083025,64.61679369336953,18.19044192208302,17.192764384547445,0.0
arterial_po2_min,h1_arterial_po2_min,d1_arterial_po2_min,82.80723561545256,64.61679369336953,18.190441922083025,64.61679369336953,18.19044192208302,17.192764384547445,0.0
arterial_ph_min,h1_arterial_ph_min,d1_arterial_ph_min,83.32951708045752,65.55559190082104,17.77392517963648,65.55559190082104,17.773925179636475,16.670482919542486,0.0
arterial_ph_max,h1_arterial_ph_max,d1_arterial_ph_max,83.32951708045752,65.55559190082104,17.77392517963648,65.55559190082104,17.773925179636475,16.670482919542486,0.0
lactate_max,h1_lactate_max,d1_lactate_max,91.99241110856694,74.57612334129294,17.416287767274,74.57612334129294,17.416287767273996,8.007588891433057,0.0
lactate_min,h1_lactate_min,d1_lactate_min,91.99241110856694,74.57612334129294,17.416287767274,74.57612334129294,17.416287767273996,8.007588891433057,0.0
pao2fio2ratio_max,h1_pao2fio2ratio_max,d1_pao2fio2ratio_max,87.44125696466149,71.97234852201979,15.468908442641705,71.97234852201979,15.468908442641718,12.558743035338502,0.0
pao2fio2ratio_min,h1_pao2fio2ratio_min,d1_pao2fio2ratio_min,87.44125696466149,71.97234852201979,15.468908442641705,71.97234852201979,15.468908442641718,12.558743035338502,0.0
mbp_invasive_max,h1_mbp_invasive_max,d1_mbp_invasive_max,81.60675149651631,73.90119176125522,7.70555973526109,73.90119176125522,7.705559735261086,18.393248503483694,0.0
mbp_invasive_min,h1_mbp_invasive_min,d1_mbp_invasive_min,81.60675149651631,73.90119176125522,7.70555973526109,73.90119176125522,7.705559735261086,18.393248503483694,0.0
sysbp_invasive_min,h1_sysbp_invasive_min,d1_sysbp_invasive_min,81.68416691199721,74.09963691079781,7.584530001199397,74.09963691079781,7.5845300011993935,18.31583308800279,0.0
sysbp_invasive_max,h1_sysbp_invasive_max,d1_sysbp_invasive_max,81.68416691199721,74.09963691079781,7.584530001199397,74.09963691079781,7.5845300011993935,18.31583308800279,0.0
diasbp_invasive_max,h1_diasbp_invasive_max,d1_diasbp_invasive_max,81.69834156553597,74.12689585991082,7.571445705625152,74.12689585991082,7.571445705625157,18.301658434464034,0.0
diasbp_invasive_min,h1_diasbp_invasive_min,d1_diasbp_invasive_min,81.69834156553597,74.12689585991082,7.571445705625152,74.12689585991082,7.571445705625157,18.301658434464034,0.0
inr_max,h1_inr_max,d1_inr_max,63.17643082223894,63.17643082223894,0.0,63.17643082223894,0.0,36.82356917776106,0.0
inr_min,h1_inr_min,d1_inr_min,63.17643082223894,63.17643082223894,0.0,63.17643082223894,0.0,36.82356917776106,0.0
