dictionary_category,features_count,missing_features,patients,missing_features_percent,patients_percent
APACHE covariate,8,0,3625,0.0,3.9525476213841007
APACHE covariate,8,1,6703,12.5,7.308669436175896
APACHE covariate,8,2,4963,25.0,5.411446577911529
APACHE covariate,8,3,5554,37.5,6.055848134942702
APACHE covariate,8,5,10973,62.5,11.964497944675237
APACHE covariate,8,6,14891,75.0,16.236520449663626
APACHE covariate,8,7,21683,87.5,23.64223174468178
APACHE covariate,8,8,23321,100.0,25.42823809056513
labs,38,0,1526,0.0,1.6638862538571413
labs,38,2,629,5.263157894736842,0.685835159682924
labs,38,4,2410,10.526315789473683,2.627762694492602
labs,38,6,593,15.789473684210526,0.6465822729602129
labs,38,8,2278,21.052631578947366,2.4838354431759946
labs,38,10,874,26.31578947368421,0.9529728609902631
labs,38,12,3369,31.57894736842105,3.673415982467044
labs,38,14,702,36.84210526315789,0.7654312910928658
labs,38,16,2101,42.10526315789473,2.2908420834559986
labs,38,18,813,47.368421052631575,0.8864610251545583
labs,38,20,1290,52.63157894736842,1.40656177423048
labs,38,22,1012,57.89473684210527,1.1034422600939888
labs,38,24,2147,63.1578947368421,2.340998549823907
labs,38,26,3070,68.42105263157895,3.3473989510756383
labs,38,28,5805,73.68421052631578,6.329527984037159
labs,38,30,8029,78.94736842105263,8.754484097129088
labs,38,32,9803,84.21052631578947,10.688779126187127
labs,38,34,15429,89.47368421052632,16.823133034575253
labs,38,36,9976,94.73684210526315,10.877411054049043
labs,38,38,19857,100.0,21.65123810146871
labs blood gas,16,0,11027,0.0,12.023377274759303
labs blood gas,16,2,1459,12.5,1.5908322702343178
labs blood gas,16,4,3190,25.0,3.478241906818008
labs blood gas,16,6,54,37.5,0.058879330084066595
labs blood gas,16,8,12472,50.0,13.598944533490345
labs blood gas,16,10,4174,62.5,4.551154143905444
labs blood gas,16,12,130,75.0,0.14174653538756773
labs blood gas,16,14,8,87.5,0.008722863716158014
labs blood gas,16,16,59199,100.0,64.54810114160479
vitals,12,0,16583,0.0,18.081406125631045
vitals,12,2,172,16.666666666666664,0.18754156989739731
vitals,12,4,130,33.33333333333333,0.14174653538756773
vitals,12,6,6804,50.0,7.418795590592392
vitals,12,8,241,66.66666666666666,0.2627762694492602
vitals,12,10,99,83.33333333333334,0.10794543848745544
vitals,12,12,67684,100.0,73.79978847055489
