feature,feature_type,unique_values,uniqueness_ratio_percent,cardinality_level,q5_review,q5_reason
encounter_id,numeric,91713,100.0,identifier_like,INVESTIGATE,Feature is unique or nearly unique across rows and may behave as an identifier.
patient_id,numeric,91713,100.0,identifier_like,INVESTIGATE,Feature is unique or nearly unique across rows and may behave as an identifier.
bmi,numeric,34888,38.040408666165106,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
urineoutput_apache,numeric,24772,27.01034749708329,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
pre_icu_los_days,numeric,9757,10.63862265981922,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_pao2fio2ratio_max,numeric,5194,5.6633192677155915,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_pao2fio2ratio_min,numeric,4990,5.440886242953562,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
weight,numeric,3409,3.717030301047834,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_pao2fio2ratio_max,numeric,3142,3.42590472452106,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_pao2fio2ratio_min,numeric,3122,3.4040975652306655,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_wbc_max,numeric,3098,3.3779289740821916,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
wbc_apache,numeric,3075,3.3528507408982366,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_wbc_min,numeric,2774,3.0246529935777913,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_arterial_po2_max,numeric,2428,2.6473891378539576,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_wbc_max,numeric,2075,2.262492776378485,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_wbc_min,numeric,2072,2.259221702484926,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
pao2_apache,numeric,2003,2.183987002933063,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_arterial_po2_min,numeric,1822,1.986632211354988,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_arterial_po2_max,numeric,1737,1.893951784370809,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_arterial_po2_min,numeric,1729,1.885228920654651,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_creatinine_max,numeric,1187,1.2942549038849454,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
creatinine_apache,numeric,1127,1.2288334260137603,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_creatinine_min,numeric,1093,1.1917612552200887,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
d1_arterial_pco2_max,numeric,831,0.9060874685159138,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
h1_creatinine_max,numeric,784,0.8548406441834855,numeric_cardinality_not_flagged,NO_CARDINALITY_CONCERN,High uniqueness in a numeric feature is not treated as a cardinality problem by itself.
