column,dtype,missing_count,missing_percent,unique_values
encounter_id,int64,0,0.0,91713
patient_id,int64,0,0.0,91713
hospital_id,int64,0,0.0,147
hospital_death,int64,0,0.0,2
age,float64,4228,4.610033473989511,74
bmi,float64,3429,3.738837460338229,34888
elective_surgery,int64,0,0.0,2
ethnicity,str,1395,1.5210493605050537,6
gender,str,25,0.027258949112993792,2
height,float64,1334,1.454537524669349,401
hospital_admit_source,str,21409,23.343473662403365,15
icu_admit_source,str,112,0.12212009202621221,5
icu_id,int64,0,0.0,241
icu_stay_type,str,0,0.0,3
icu_type,str,0,0.0,8
pre_icu_los_days,float64,0,0.0,9757
readmission_status,int64,0,0.0,1
weight,float64,2720,2.965773663493725,3409
albumin_apache,float64,54379,59.292575752619584,35
apache_2_diagnosis,float64,1662,1.8121749370318276,44
apache_3j_diagnosis,float64,1101,1.2004841189362467,399
apache_post_operative,int64,0,0.0,2
arf_apache,float64,715,0.7796059446316226,2
bilirubin_apache,float64,58134,63.38686990939125,362
bun_apache,float64,19262,21.00247511257946,476
creatinine_apache,float64,18853,20.55651870509088,1127
fio2_apache,float64,70868,77.27148822958577,82
gcs_eyes_apache,float64,1901,2.072770490552048,4
gcs_motor_apache,float64,1901,2.072770490552048,6
gcs_unable_apache,float64,1037,1.1307012092069826,2
gcs_verbal_apache,float64,1901,2.072770490552048,5
glucose_apache,float64,11036,12.033190496439982,565
heart_rate_apache,float64,878,0.957334292848342,149
hematocrit_apache,float64,19878,21.67413561872363,353
intubated_apache,float64,715,0.7796059446316226,2
map_apache,float64,994,1.0838158167326335,161
paco2_apache,float64,70868,77.27148822958577,704
paco2_for_ph_apache,float64,70868,77.27148822958577,704
pao2_apache,float64,70868,77.27148822958577,2003
ph_apache,float64,70868,77.27148822958577,555
resprate_apache,float64,1234,1.3455017282173738,74
sodium_apache,float64,18600,20.280658140067384,119
temp_apache,float64,4108,4.47919051824714,191
urineoutput_apache,float64,48998,53.4253595455388,24772
ventilated_apache,float64,715,0.7796059446316226,2
wbc_apache,float64,22012,24.000959515008777,3075
d1_diasbp_invasive_max,float64,67984,74.12689585991082,145
d1_diasbp_invasive_min,float64,67984,74.12689585991082,85
d1_diasbp_max,float64,165,0.17990906414575905,120
d1_diasbp_min,float64,165,0.17990906414575905,78
d1_diasbp_noninvasive_max,float64,1040,1.1339722831005419,120
d1_diasbp_noninvasive_min,float64,1040,1.1339722831005419,78
d1_heartrate_max,float64,145,0.15810190485536402,120
d1_heartrate_min,float64,145,0.15810190485536402,154
d1_mbp_invasive_max,float64,67777,73.90119176125522,285
d1_mbp_invasive_min,float64,67777,73.90119176125522,118
d1_mbp_max,float64,220,0.2398787521943454,125
d1_mbp_min,float64,220,0.2398787521943454,91
d1_mbp_noninvasive_max,float64,1479,1.612639429524713,122
d1_mbp_noninvasive_min,float64,1479,1.612639429524713,91
d1_resprate_max,float64,385,0.4197878163401045,79
d1_resprate_min,float64,385,0.4197878163401045,55
d1_spo2_max,float64,333,0.36308920218507734,43
d1_spo2_min,float64,333,0.36308920218507734,101
d1_sysbp_invasive_max,float64,67959,74.09963691079781,225
d1_sysbp_invasive_min,float64,67959,74.09963691079781,163
d1_sysbp_max,float64,159,0.17336691635864054,143
